date,origin,destination,cargo_type,vessel_type,freight_rate_usd_mt,bdi,oil_price,commodity_price,distance_nm,data_source
2023-09-19,Samarinda,Gangavaram,coal,Panamax,10.75,1422,91.58,137.36,2200,SYNTHETIC
2023-09-19,Samarinda,Shanghai,coal,Supramax,13.74,1422,91.58,137.36,2600,SYNTHETIC
2023-09-19,Paradip,Rotterdam,grain,Supramax,16.1,1422,91.58,221.19,4800,SYNTHETIC
2023-09-19,Paradip,Singapore,steel_coils,Handysize,24.99,1422,91.58,221.19,1900,SYNTHETIC
2023-09-19,Dhamra,Singapore,steel_coils,Handymax,23.1,1422,91.58,221.19,2100,SYNTHETIC
2023-09-19,Richards Bay,Rotterdam,coal,Panamax,13.54,1422,91.58,137.36,5200,SYNTHETIC
2023-09-19,Newcastle,Qingdao,coal,Panamax,11.42,1422,91.58,137.36,4200,SYNTHETIC
2023-09-19,Baltimore,Rotterdam,grain,Handymax,21.5,1422,91.58,221.19,3400,SYNTHETIC
2023-09-19,Norfolk,Rotterdam,grain,Panamax,18.41,1422,91.58,221.19,3300,SYNTHETIC
2023-09-19,Paradip,Rotterdam,iron_ore,Handymax,16.69,1422,91.58,93.43,4800,SYNTHETIC
2023-09-19,Visakhapatnam,Rotterdam,iron_ore,Panamax,12.06,1422,91.58,93.43,4700,SYNTHETIC
2023-09-19,Port Hedland,Rotterdam,iron_ore,Capesize,6.31,1422,91.58,93.43,8200,SYNTHETIC
2023-09-26,Paradip,Rotterdam,iron_ore,Panamax,12.07,1577,86.86,96.85,4800,SYNTHETIC
2023-09-26,Port Hedland,Qingdao,iron_ore,Capesize,7.47,1577,86.86,96.85,4000,SYNTHETIC
2023-09-26,Port Hedland,Gangavaram,coal,Capesize,7.67,1577,86.86,149.79,3800,SYNTHETIC
2023-09-26,Samarinda,Gangavaram,coal,Panamax,11.97,1577,86.86,149.79,2200,SYNTHETIC
2023-09-26,Samarinda,Shanghai,coal,Supramax,15.17,1577,86.86,149.79,2600,SYNTHETIC
2023-09-26,Paradip,Rotterdam,grain,Supramax,16.96,1577,86.86,210.28,4800,SYNTHETIC
2023-09-26,Paradip,Singapore,steel_coils,Handysize,26.09,1577,86.86,210.28,1900,SYNTHETIC
2023-09-26,Dhamra,Singapore,steel_coils,Handymax,23.69,1577,86.86,210.28,2100,SYNTHETIC
2023-09-26,Richards Bay,Rotterdam,coal,Panamax,12.64,1577,86.86,149.79,5200,SYNTHETIC
2023-09-26,Newcastle,Qingdao,coal,Panamax,13.24,1577,86.86,149.79,4200,SYNTHETIC
2023-09-26,Baltimore,Rotterdam,grain,Handymax,21.59,1577,86.86,210.28,3400,SYNTHETIC
2023-09-26,Norfolk,Rotterdam,grain,Panamax,18.51,1577,86.86,210.28,3300,SYNTHETIC
2023-09-26,Paradip,Rotterdam,iron_ore,Handymax,18.49,1577,86.86,96.85,4800,SYNTHETIC
2023-09-26,Visakhapatnam,Rotterdam,iron_ore,Panamax,12.42,1577,86.86,96.85,4700,SYNTHETIC
2023-09-26,Port Hedland,Rotterdam,iron_ore,Capesize,6.68,1577,86.86,96.85,8200,SYNTHETIC
2023-10-03,Paradip,Rotterdam,iron_ore,Panamax,11.37,1594,87.14,110.82,4800,SYNTHETIC
2023-10-03,Port Hedland,Qingdao,iron_ore,Capesize,7.53,1594,87.14,110.82,4000,SYNTHETIC
2023-10-03,Port Hedland,Gangavaram,coal,Capesize,8.68,1594,87.14,148.23,3800,SYNTHETIC
2023-10-03,Samarinda,Gangavaram,coal,Panamax,11.94,1594,87.14,148.23,2200,SYNTHETIC
2023-10-03,Samarinda,Shanghai,coal,Supramax,15.32,1594,87.14,148.23,2600,SYNTHETIC
2023-10-03,Paradip,Rotterdam,grain,Supramax,17.17,1594,87.14,231.15,4800,SYNTHETIC
2023-10-03,Paradip,Singapore,steel_coils,Handysize,30.27,1594,87.14,231.15,1900,SYNTHETIC
2023-10-03,Dhamra,Singapore,steel_coils,Handymax,25.28,1594,87.14,231.15,2100,SYNTHETIC
2023-10-03,Richards Bay,Rotterdam,coal,Panamax,13.25,1594,87.14,148.23,5200,SYNTHETIC
2023-10-03,Newcastle,Qingdao,coal,Panamax,12.07,1594,87.14,148.23,4200,SYNTHETIC
2023-10-03,Baltimore,Rotterdam,grain,Handymax,21.06,1594,87.14,231.15,3400,SYNTHETIC
2023-10-03,Norfolk,Rotterdam,grain,Panamax,18.84,1594,87.14,231.15,3300,SYNTHETIC
2023-10-03,Paradip,Rotterdam,iron_ore,Handymax,18.48,1594,87.14,110.82,4800,SYNTHETIC
2023-10-03,Visakhapatnam,Rotterdam,iron_ore,Panamax,13.41,1594,87.14,110.82,4700,SYNTHETIC
2023-10-03,Port Hedland,Rotterdam,iron_ore,Capesize,6.6,1594,87.14,110.82,8200,SYNTHETIC
2023-10-10,Paradip,Rotterdam,iron_ore,Panamax,11.29,1587,95.18,104.76,4800,SYNTHETIC
2023-10-10,Port Hedland,Qingdao,iron_ore,Capesize,7.86,1587,95.18,104.76,4000,SYNTHETIC
2023-10-10,Port Hedland,Gangavaram,coal,Capesize,7.75,1587,95.18,140.95,3800,SYNTHETIC
2023-10-10,Samarinda,Gangavaram,coal,Panamax,11.31,1587,95.18,140.95,2200,SYNTHETIC
2023-10-10,Samarinda,Shanghai,coal,Supramax,14.11,1587,95.18,140.95,2600,SYNTHETIC
2023-10-10,Paradip,Rotterdam,grain,Supramax,16.97,1587,95.18,241.97,4800,SYNTHETIC
2023-10-10,Paradip,Singapore,steel_coils,Handysize,26.52,1587,95.18,241.97,1900,SYNTHETIC
2023-10-10,Dhamra,Singapore,steel_coils,Handymax,23.8,1587,95.18,241.97,2100,SYNTHETIC
2023-10-10,Richards Bay,Rotterdam,coal,Panamax,12.67,1587,95.18,140.95,5200,SYNTHETIC
2023-10-10,Newcastle,Qingdao,coal,Panamax,12.83,1587,95.18,140.95,4200,SYNTHETIC
2023-10-10,Baltimore,Rotterdam,grain,Handymax,21.1,1587,95.18,241.97,3400,SYNTHETIC
2023-10-10,Norfolk,Rotterdam,grain,Panamax,17.65,1587,95.18,241.97,3300,SYNTHETIC
2023-10-10,Paradip,Rotterdam,iron_ore,Handymax,18.74,1587,95.18,104.76,4800,SYNTHETIC
2023-10-10,Visakhapatnam,Rotterdam,iron_ore,Panamax,12.82,1587,95.18,104.76,4700,SYNTHETIC
2023-10-10,Port Hedland,Rotterdam,iron_ore,Capesize,6.08,1587,95.18,104.76,8200,SYNTHETIC
2023-10-17,Paradip,Rotterdam,iron_ore,Panamax,10.02,1158,93.18,104.37,4800,SYNTHETIC
2023-10-17,Port Hedland,Qingdao,iron_ore,Capesize,6.55,1158,93.18,104.37,4000,SYNTHETIC
2023-10-17,Port Hedland,Gangavaram,coal,Capesize,6.38,1158,93.18,132.23,3800,SYNTHETIC
2023-10-17,Samarinda,Gangavaram,coal,Panamax,9.92,1158,93.18,132.23,2200,SYNTHETIC
2023-10-17,Samarinda,Shanghai,coal,Supramax,12.57,1158,93.18,132.23,2600,SYNTHETIC
2023-10-17,Paradip,Rotterdam,grain,Supramax,14.08,1158,93.18,253.24,4800,SYNTHETIC
2023-10-17,Paradip,Singapore,steel_coils,Handysize,22.57,1158,93.18,253.24,1900,SYNTHETIC
2023-10-17,Dhamra,Singapore,steel_coils,Handymax,19.47,1158,93.18,253.24,2100,SYNTHETIC
2023-10-17,Richards Bay,Rotterdam,coal,Panamax,11.35,1158,93.18,132.23,5200,SYNTHETIC
2023-10-17,Newcastle,Qingdao,coal,Panamax,11.22,1158,93.18,132.23,4200,SYNTHETIC
2023-10-17,Baltimore,Rotterdam,grain,Handymax,17.44,1158,93.18,253.24,3400,SYNTHETIC
2023-10-17,Norfolk,Rotterdam,grain,Panamax,14.7,1158,93.18,253.24,3300,SYNTHETIC
2023-10-17,Paradip,Rotterdam,iron_ore,Handymax,15.27,1158,93.18,104.37,4800,SYNTHETIC
2023-10-17,Visakhapatnam,Rotterdam,iron_ore,Panamax,10.93,1158,93.18,104.37,4700,SYNTHETIC
2023-10-17,Port Hedland,Rotterdam,iron_ore,Capesize,5.13,1158,93.18,104.37,8200,SYNTHETIC
2023-10-24,Paradip,Rotterdam,iron_ore,Panamax,10.65,1197,91.98,98.43,4800,SYNTHETIC
2023-10-24,Port Hedland,Qingdao,iron_ore,Capesize,6.84,1197,91.98,98.43,4000,SYNTHETIC
2023-10-24,Port Hedland,Gangavaram,coal,Capesize,7.36,1197,91.98,114.78,3800,SYNTHETIC
2023-10-24,Samarinda,Gangavaram,coal,Panamax,9.88,1197,91.98,114.78,2200,SYNTHETIC
2023-10-24,Samarinda,Shanghai,coal,Supramax,12.25,1197,91.98,114.78,2600,SYNTHETIC
2023-10-24,Paradip,Rotterdam,grain,Supramax,14.1,1197,91.98,264.91,4800,SYNTHETIC
2023-10-24,Paradip,Singapore,steel_coils,Handysize,23.64,1197,91.98,264.91,1900,SYNTHETIC
2023-10-24,Dhamra,Singapore,steel_coils,Handymax,21.39,1197,91.98,264.91,2100,SYNTHETIC
2023-10-24,Richards Bay,Rotterdam,coal,Panamax,12.06,1197,91.98,114.78,5200,SYNTHETIC
2023-10-24,Newcastle,Qingdao,coal,Panamax,10.56,1197,91.98,114.78,4200,SYNTHETIC
2023-10-24,Baltimore,Rotterdam,grain,Handymax,19.37,1197,91.98,264.91,3400,SYNTHETIC
2023-10-24,Norfolk,Rotterdam,grain,Panamax,16.09,1197,91.98,264.91,3300,SYNTHETIC
2023-10-24,Paradip,Rotterdam,iron_ore,Handymax,16.38,1197,91.98,98.43,4800,SYNTHETIC
2023-10-24,Visakhapatnam,Rotterdam,iron_ore,Panamax,11.29,1197,91.98,98.43,4700,SYNTHETIC
2023-10-24,Port Hedland,Rotterdam,iron_ore,Capesize,5.35,1197,91.98,98.43,8200,SYNTHETIC
2023-10-31,Paradip,Rotterdam,iron_ore,Panamax,10.64,1426,93.94,86.23,4800,SYNTHETIC
2023-10-31,Port Hedland,Qingdao,iron_ore,Capesize,6.62,1426,93.94,86.23,4000,SYNTHETIC
2023-10-31,Port Hedland,Gangavaram,coal,Capesize,7.06,1426,93.94,110.08,3800,SYNTHETIC
2023-10-31,Samarinda,Gangavaram,coal,Panamax,10.8,1426,93.94,110.08,2200,SYNTHETIC
2023-10-31,Samarinda,Shanghai,coal,Supramax,14.16,1426,93.94,110.08,2600,SYNTHETIC
2023-10-31,Paradip,Rotterdam,grain,Supramax,15.71,1426,93.94,237.53,4800,SYNTHETIC
2023-10-31,Paradip,Singapore,steel_coils,Handysize,24.84,1426,93.94,237.53,1900,SYNTHETIC
2023-10-31,Dhamra,Singapore,steel_coils,Handymax,22.2,1426,93.94,237.53,2100,SYNTHETIC
2023-10-31,Richards Bay,Rotterdam,coal,Panamax,13.48,1426,93.94,110.08,5200,SYNTHETIC
2023-10-31,Newcastle,Qingdao,coal,Panamax,12.67,1426,93.94,110.08,4200,SYNTHETIC
2023-10-31,Baltimore,Rotterdam,grain,Handymax,21.05,1426,93.94,237.53,3400,SYNTHETIC
2023-10-31,Norfolk,Rotterdam,grain,Panamax,16.09,1426,93.94,237.53,3300,SYNTHETIC
2023-10-31,Paradip,Rotterdam,iron_ore,Handymax,15.82,1426,93.94,86.23,4800,SYNTHETIC
2023-10-31,Visakhapatnam,Rotterdam,iron_ore,Panamax,11.88,1426,93.94,86.23,4700,SYNTHETIC
2023-10-31,Port Hedland,Rotterdam,iron_ore,Capesize,6.48,1426,93.94,86.23,8200,SYNTHETIC
2023-11-07,Paradip,Rotterdam,iron_ore,Panamax,12.34,1401,80.76,77.74,4800,SYNTHETIC
2023-11-07,Port Hedland,Qingdao,iron_ore,Capesize,6.96,1401,80.76,77.74,4000,SYNTHETIC
2023-11-07,Port Hedland,Gangavaram,coal,Capesize,7.48,1401,80.76,97.35,3800,SYNTHETIC
2023-11-07,Samarinda,Gangavaram,coal,Panamax,10.81,1401,80.76,97.35,2200,SYNTHETIC
2023-11-07,Samarinda,Shanghai,coal,Supramax,14.01,1401,80.76,97.35,2600,SYNTHETIC
2023-11-07,Paradip,Rotterdam,grain,Supramax,15.33,1401,80.76,220.97,4800,SYNTHETIC
2023-11-07,Paradip,Singapore,steel_coils,Handysize,27.18,1401,80.76,220.97,1900,SYNTHETIC
2023-11-07,Dhamra,Singapore,steel_coils,Handymax,21.9,1401,80.76,220.97,2100,SYNTHETIC
2023-11-07,Richards Bay,Rotterdam,coal,Panamax,12.68,1401,80.76,97.35,5200,SYNTHETIC
2023-11-07,Newcastle,Qingdao,coal,Panamax,12.01,1401,80.76,97.35,4200,SYNTHETIC
2023-11-07,Baltimore,Rotterdam,grain,Handymax,20.88,1401,80.76,220.97,3400,SYNTHETIC
2023-11-07,Norfolk,Rotterdam,grain,Panamax,16.67,1401,80.76,220.97,3300,SYNTHETIC
2023-11-07,Paradip,Rotterdam,iron_ore,Handymax,18.41,1401,80.76,77.74,4800,SYNTHETIC
2023-11-07,Visakhapatnam,Rotterdam,iron_ore,Panamax,12.58,1401,80.76,77.74,4700,SYNTHETIC
2023-11-07,Port Hedland,Rotterdam,iron_ore,Capesize,6.21,1401,80.76,77.74,8200,SYNTHETIC
2023-11-14,Paradip,Rotterdam,iron_ore,Panamax,12.07,1652,101.25,91.91,4800,SYNTHETIC
2023-11-14,Port Hedland,Qingdao,iron_ore,Capesize,7.72,1652,101.25,91.91,4000,SYNTHETIC
2023-11-14,Port Hedland,Gangavaram,coal,Capesize,7.65,1652,101.25,88.45,3800,SYNTHETIC
2023-11-14,Samarinda,Gangavaram,coal,Panamax,11.44,1652,101.25,88.45,2200,SYNTHETIC
2023-11-14,Samarinda,Shanghai,coal,Supramax,14.87,1652,101.25,88.45,2600,SYNTHETIC
2023-11-14,Paradip,Rotterdam,grain,Supramax,16.74,1652,101.25,209.68,4800,SYNTHETIC
2023-11-14,Paradip,Singapore,steel_coils,Handysize,28.82,1652,101.25,209.68,1900,SYNTHETIC
2023-11-14,Dhamra,Singapore,steel_coils,Handymax,23.57,1652,101.25,209.68,2100,SYNTHETIC
2023-11-14,Richards Bay,Rotterdam,coal,Panamax,14.75,1652,101.25,88.45,5200,SYNTHETIC
2023-11-14,Newcastle,Qingdao,coal,Panamax,11.9,1652,101.25,88.45,4200,SYNTHETIC
2023-11-14,Baltimore,Rotterdam,grain,Handymax,24.06,1652,101.25,209.68,3400,SYNTHETIC
2023-11-14,Norfolk,Rotterdam,grain,Panamax,19.36,1652,101.25,209.68,3300,SYNTHETIC
2023-11-14,Paradip,Rotterdam,iron_ore,Handymax,18.17,1652,101.25,91.91,4800,SYNTHETIC
2023-11-14,Visakhapatnam,Rotterdam,iron_ore,Panamax,13.33,1652,101.25,91.91,4700,SYNTHETIC
2023-11-14,Port Hedland,Rotterdam,iron_ore,Capesize,6.58,1652,101.25,91.91,8200,SYNTHETIC
2023-11-21,Paradip,Rotterdam,iron_ore,Panamax,12.58,1606,89.93,109.23,4800,SYNTHETIC
2023-11-21,Port Hedland,Qingdao,iron_ore,Capesize,7.46,1606,89.93,109.23,4000,SYNTHETIC
2023-11-21,Port Hedland,Gangavaram,coal,Capesize,8.75,1606,89.93,96.02,3800,SYNTHETIC
2023-11-21,Samarinda,Gangavaram,coal,Panamax,10.87,1606,89.93,96.02,2200,SYNTHETIC
2023-11-21,Samarinda,Shanghai,coal,Supramax,14.96,1606,89.93,96.02,2600,SYNTHETIC
2023-11-21,Paradip,Rotterdam,grain,Supramax,15.49,1606,89.93,205.05,4800,SYNTHETIC
2023-11-21,Paradip,Singapore,steel_coils,Handysize,29.48,1606,89.93,205.05,1900,SYNTHETIC
2023-11-21,Dhamra,Singapore,steel_coils,Handymax,25.57,1606,89.93,205.05,2100,SYNTHETIC
2023-11-21,Richards Bay,Rotterdam,coal,Panamax,14.14,1606,89.93,96.02,5200,SYNTHETIC
2023-11-21,Newcastle,Qingdao,coal,Panamax,11.78,1606,89.93,96.02,4200,SYNTHETIC
2023-11-21,Baltimore,Rotterdam,grain,Handymax,23.64,1606,89.93,205.05,3400,SYNTHETIC
2023-11-21,Norfolk,Rotterdam,grain,Panamax,17.81,1606,89.93,205.05,3300,SYNTHETIC
2023-11-21,Paradip,Rotterdam,iron_ore,Handymax,18.23,1606,89.93,109.23,4800,SYNTHETIC
2023-11-21,Visakhapatnam,Rotterdam,iron_ore,Panamax,12.47,1606,89.93,109.23,4700,SYNTHETIC
2023-11-21,Port Hedland,Rotterdam,iron_ore,Capesize,7.11,1606,89.93,109.23,8200,SYNTHETIC
2023-11-28,Paradip,Rotterdam,iron_ore,Panamax,13.23,1752,83.91,112.3,4800,SYNTHETIC
2023-11-28,Port Hedland,Qingdao,iron_ore,Capesize,8.51,1752,83.91,112.3,4000,SYNTHETIC
2023-11-28,Port Hedland,Gangavaram,coal,Capesize,9.27,1752,83.91,114.41,3800,SYNTHETIC
2023-11-28,Samarinda,Gangavaram,coal,Panamax,11.91,1752,83.91,114.41,2200,SYNTHETIC
2023-11-28,Samarinda,Shanghai,coal,Supramax,14.66,1752,83.91,114.41,2600,SYNTHETIC
2023-11-28,Paradip,Rotterdam,grain,Supramax,17.69,1752,83.91,215.08,4800,SYNTHETIC
2023-11-28,Paradip,Singapore,steel_coils,Handysize,32.46,1752,83.91,215.08,1900,SYNTHETIC
2023-11-28,Dhamra,Singapore,steel_coils,Handymax,26.86,1752,83.91,215.08,2100,SYNTHETIC
2023-11-28,Richards Bay,Rotterdam,coal,Panamax,14.26,1752,83.91,114.41,5200,SYNTHETIC
2023-11-28,Newcastle,Qingdao,coal,Panamax,13.49,1752,83.91,114.41,4200,SYNTHETIC
2023-11-28,Baltimore,Rotterdam,grain,Handymax,22.82,1752,83.91,215.08,3400,SYNTHETIC
2023-11-28,Norfolk,Rotterdam,grain,Panamax,20.51,1752,83.91,215.08,3300,SYNTHETIC
2023-11-28,Paradip,Rotterdam,iron_ore,Handymax,18.4,1752,83.91,112.3,4800,SYNTHETIC
2023-11-28,Visakhapatnam,Rotterdam,iron_ore,Panamax,14.2,1752,83.91,112.3,4700,SYNTHETIC
2023-11-28,Port Hedland,Rotterdam,iron_ore,Capesize,6.87,1752,83.91,112.3,8200,SYNTHETIC
2023-12-05,Paradip,Rotterdam,iron_ore,Panamax,10.74,1410,85.37,101.07,4800,SYNTHETIC
2023-12-05,Port Hedland,Qingdao,iron_ore,Capesize,7.42,1410,85.37,101.07,4000,SYNTHETIC
2023-12-05,Port Hedland,Gangavaram,coal,Capesize,7.71,1410,85.37,108.4,3800,SYNTHETIC
2023-12-05,Samarinda,Gangavaram,coal,Panamax,10.98,1410,85.37,108.4,2200,SYNTHETIC
2023-12-05,Samarinda,Shanghai,coal,Supramax,14.07,1410,85.37,108.4,2600,SYNTHETIC
2023-12-05,Paradip,Rotterdam,grain,Supramax,15.74,1410,85.37,222.55,4800,SYNTHETIC
2023-12-05,Paradip,Singapore,steel_coils,Handysize,26.46,1410,85.37,222.55,1900,SYNTHETIC
2023-12-05,Dhamra,Singapore,steel_coils,Handymax,21.61,1410,85.37,222.55,2100,SYNTHETIC
2023-12-05,Richards Bay,Rotterdam,coal,Panamax,12.1,1410,85.37,108.4,5200,SYNTHETIC
2023-12-05,Newcastle,Qingdao,coal,Panamax,12.27,1410,85.37,108.4,4200,SYNTHETIC
2023-12-05,Baltimore,Rotterdam,grain,Handymax,20.23,1410,85.37,222.55,3400,SYNTHETIC
2023-12-05,Norfolk,Rotterdam,grain,Panamax,16.6,1410,85.37,222.55,3300,SYNTHETIC
2023-12-05,Paradip,Rotterdam,iron_ore,Handymax,16.36,1410,85.37,101.07,4800,SYNTHETIC
2023-12-05,Visakhapatnam,Rotterdam,iron_ore,Panamax,12.37,1410,85.37,101.07,4700,SYNTHETIC
2023-12-05,Port Hedland,Rotterdam,iron_ore,Capesize,6.42,1410,85.37,101.07,8200,SYNTHETIC
2023-12-12,Paradip,Rotterdam,iron_ore,Panamax,11.27,1620,90.32,106.54,4800,SYNTHETIC
2023-12-12,Port Hedland,Qingdao,iron_ore,Capesize,7.92,1620,90.32,106.54,4000,SYNTHETIC
2023-12-12,Port Hedland,Gangavaram,coal,Capesize,8.26,1620,90.32,90.84,3800,SYNTHETIC
2023-12-12,Samarinda,Gangavaram,coal,Panamax,11.53,1620,90.32,90.84,2200,SYNTHETIC
2023-12-12,Samarinda,Shanghai,coal,Supramax,15.39,1620,90.32,90.84,2600,SYNTHETIC
2023-12-12,Paradip,Rotterdam,grain,Supramax,15.39,1620,90.32,210.1,4800,SYNTHETIC
2023-12-12,Paradip,Singapore,steel_coils,Handysize,30.6,1620,90.32,210.1,1900,SYNTHETIC
2023-12-12,Dhamra,Singapore,steel_coils,Handymax,24.18,1620,90.32,210.1,2100,SYNTHETIC
2023-12-12,Richards Bay,Rotterdam,coal,Panamax,14.52,1620,90.32,90.84,5200,SYNTHETIC
2023-12-12,Newcastle,Qingdao,coal,Panamax,13.61,1620,90.32,90.84,4200,SYNTHETIC
2023-12-12,Baltimore,Rotterdam,grain,Handymax,20.98,1620,90.32,210.1,3400,SYNTHETIC
2023-12-12,Norfolk,Rotterdam,grain,Panamax,20.29,1620,90.32,210.1,3300,SYNTHETIC
2023-12-12,Paradip,Rotterdam,iron_ore,Handymax,17.41,1620,90.32,106.54,4800,SYNTHETIC
2023-12-12,Visakhapatnam,Rotterdam,iron_ore,Panamax,11.83,1620,90.32,106.54,4700,SYNTHETIC
2023-12-12,Port Hedland,Rotterdam,iron_ore,Capesize,7.14,1620,90.32,106.54,8200,SYNTHETIC
2023-12-19,Paradip,Rotterdam,iron_ore,Panamax,13.35,1791,84.65,105.37,4800,SYNTHETIC
2023-12-19,Port Hedland,Qingdao,iron_ore,Capesize,8.27,1791,84.65,105.37,4000,SYNTHETIC
2023-12-19,Port Hedland,Gangavaram,coal,Capesize,9.35,1791,84.65,87.14,3800,SYNTHETIC
2023-12-19,Samarinda,Gangavaram,coal,Panamax,12.2,1791,84.65,87.14,2200,SYNTHETIC
2023-12-19,Samarinda,Shanghai,coal,Supramax,14.98,1791,84.65,87.14,2600,SYNTHETIC
2023-12-19,Paradip,Rotterdam,grain,Supramax,16.09,1791,84.65,228.56,4800,SYNTHETIC
2023-12-19,Paradip,Singapore,steel_coils,Handysize,29.17,1791,84.65,228.56,1900,SYNTHETIC
2023-12-19,Dhamra,Singapore,steel_coils,Handymax,26.03,1791,84.65,228.56,2100,SYNTHETIC
2023-12-19,Richards Bay,Rotterdam,coal,Panamax,15.11,1791,84.65,87.14,5200,SYNTHETIC
2023-12-19,Newcastle,Qingdao,coal,Panamax,14.57,1791,84.65,87.14,4200,SYNTHETIC
2023-12-19,Baltimore,Rotterdam,grain,Handymax,24.49,1791,84.65,228.56,3400,SYNTHETIC
2023-12-19,Norfolk,Rotterdam,grain,Panamax,19.7,1791,84.65,228.56,3300,SYNTHETIC
2023-12-19,Paradip,Rotterdam,iron_ore,Handymax,20.16,1791,84.65,105.37,4800,SYNTHETIC
2023-12-19,Visakhapatnam,Rotterdam,iron_ore,Panamax,14.23,1791,84.65,105.37,4700,SYNTHETIC
2023-12-19,Port Hedland,Rotterdam,iron_ore,Capesize,7.24,1791,84.65,105.37,8200,SYNTHETIC
2023-12-26,Paradip,Rotterdam,iron_ore,Panamax,13.8,1823,82.44,106.66,4800,SYNTHETIC
2023-12-26,Port Hedland,Qingdao,iron_ore,Capesize,8.74,1823,82.44,106.66,4000,SYNTHETIC
2023-12-26,Port Hedland,Gangavaram,coal,Capesize,9.02,1823,82.44,102.16,3800,SYNTHETIC
2023-12-26,Samarinda,Gangavaram,coal,Panamax,11.68,1823,82.44,102.16,2200,SYNTHETIC
2023-12-26,Samarinda,Shanghai,coal,Supramax,15.79,1823,82.44,102.16,2600,SYNTHETIC
2023-12-26,Paradip,Rotterdam,grain,Supramax,17.24,1823,82.44,238.77,4800,SYNTHETIC
2023-12-26,Paradip,Singapore,steel_coils,Handysize,28.96,1823,82.44,238.77,1900,SYNTHETIC
2023-12-26,Dhamra,Singapore,steel_coils,Handymax,24.66,1823,82.44,238.77,2100,SYNTHETIC
2023-12-26,Richards Bay,Rotterdam,coal,Panamax,14.84,1823,82.44,102.16,5200,SYNTHETIC
2023-12-26,Newcastle,Qingdao,coal,Panamax,14.14,1823,82.44,102.16,4200,SYNTHETIC
2023-12-26,Baltimore,Rotterdam,grain,Handymax,24.26,1823,82.44,238.77,3400,SYNTHETIC
2023-12-26,Norfolk,Rotterdam,grain,Panamax,18.82,1823,82.44,238.77,3300,SYNTHETIC
2023-12-26,Paradip,Rotterdam,iron_ore,Handymax,20.05,1823,82.44,106.66,4800,SYNTHETIC
2023-12-26,Visakhapatnam,Rotterdam,iron_ore,Panamax,13.92,1823,82.44,106.66,4700,SYNTHETIC
2023-12-26,Port Hedland,Rotterdam,iron_ore,Capesize,6.9,1823,82.44,106.66,8200,SYNTHETIC
2024-01-02,Paradip,Rotterdam,iron_ore,Panamax,13.78,1840,83.44,122.09,4800,SYNTHETIC
2024-01-02,Port Hedland,Qingdao,iron_ore,Capesize,8.68,1840,83.44,122.09,4000,SYNTHETIC
2024-01-02,Port Hedland,Gangavaram,coal,Capesize,8.39,1840,83.44,122.17,3800,SYNTHETIC
2024-01-02,Samarinda,Gangavaram,coal,Panamax,12.12,1840,83.44,122.17,2200,SYNTHETIC
2024-01-02,Samarinda,Shanghai,coal,Supramax,15.83,1840,83.44,122.17,2600,SYNTHETIC
2024-01-02,Paradip,Rotterdam,grain,Supramax,17.49,1840,83.44,264.53,4800,SYNTHETIC
2024-01-02,Paradip,Singapore,steel_coils,Handysize,31.29,1840,83.44,264.53,1900,SYNTHETIC
