date,iron_ore_usd_t,coal_usd_t,grain_usd_t,bauxite_usd_t,fertilizer_usd_t,data_source
2024-01-11,121.34,110.55,235.55,53.7,422.9,SYNTHETIC
2024-01-12,117.87,114.67,238.57,53.29,428.04,SYNTHETIC
2024-01-13,117.79,115.31,231.56,52.27,435.23,SYNTHETIC
2024-01-14,118.12,120.3,237.29,49.53,436.34,SYNTHETIC
2024-01-15,122.03,126.75,249.5,49.78,443.74,SYNTHETIC
2024-01-16,116.1,121.01,252.2,48.3,442.66,SYNTHETIC
2024-01-17,116.22,126.51,254.41,48.24,443.48,SYNTHETIC
2024-01-18,122.26,129.89,248.41,44.42,458.86,SYNTHETIC
2024-01-19,119.03,138.7,240.42,46.41,458.63,SYNTHETIC
2024-01-20,114.44,135.56,237.07,45.54,476.56,SYNTHETIC
2024-01-21,110.45,142.8,237.13,45.98,484.92,SYNTHETIC
2024-01-22,113.45,147.1,236.78,49.25,479.66,SYNTHETIC
2024-01-23,108.13,144.27,234.97,52.53,477.16,SYNTHETIC
2024-01-24,108.11,150.17,252.04,53.93,467.1,SYNTHETIC
2024-01-25,105.34,147.68,255.24,51.92,479.96,SYNTHETIC
2024-01-26,103.03,152.97,247.52,51.84,511.27,SYNTHETIC
2024-01-27,101.86,152.04,238.43,52.53,505.59,SYNTHETIC
2024-01-28,100.46,152.39,225.8,53.14,506.64,SYNTHETIC
2024-01-29,99.13,152.49,218.59,53.48,509.94,SYNTHETIC
2024-01-30,99.09,158.26,222.68,55.17,508.45,SYNTHETIC
2024-01-31,100.34,157.28,220.62,56.48,503.89,SYNTHETIC
2024-02-01,98.67,160.33,215.75,58.87,509.05,SYNTHETIC
2024-02-02,100.74,163.42,219.98,60.4,488.92,SYNTHETIC
2024-02-03,98.95,157.68,223.82,58.85,476.26,SYNTHETIC
2024-02-04,97.32,162.78,226.32,58.1,477.17,SYNTHETIC
2024-02-05,97.72,171.05,226.07,57.98,476.03,SYNTHETIC
2024-02-06,91.07,173.34,225.66,58.72,476.5,SYNTHETIC
2024-02-07,88.2,174.94,216.29,57.62,481.6,SYNTHETIC
2024-02-08,86.03,168.96,203.47,57.52,493.94,SYNTHETIC
2024-02-09,82.51,175.97,198.24,56.78,479.05,SYNTHETIC
2024-02-10,82.26,165.87,193.26,55.66,468.91,SYNTHETIC
2024-02-11,80.01,166.09,188.2,56.47,480.03,SYNTHETIC
2024-02-12,77.11,174.74,187.78,58.25,479.12,SYNTHETIC
2024-02-13,82.01,169.74,185.27,61.7,479.39,SYNTHETIC
2024-02-14,91.03,172.23,177.01,63.54,491.93,SYNTHETIC
2024-02-15,95.42,167.07,177.36,62.5,467.68,SYNTHETIC
2024-02-16,96.9,170.34,180.78,64.82,483.82,SYNTHETIC
2024-02-17,101.64,161.09,178.31,61.66,484.12,SYNTHETIC
2024-02-18,103.0,158.09,185.09,62.29,466.74,SYNTHETIC
2024-02-19,102.02,153.81,188.17,60.95,479.56,SYNTHETIC
2024-02-20,102.56,154.07,191.69,59.67,499.15,SYNTHETIC
2024-02-21,101.29,143.51,189.78,63.49,514.84,SYNTHETIC
2024-02-22,92.58,152.47,193.43,62.39,509.13,SYNTHETIC
2024-02-23,89.59,154.02,198.87,62.66,514.91,SYNTHETIC
2024-02-24,86.74,150.74,185.89,63.61,518.66,SYNTHETIC
2024-02-25,89.22,159.41,194.22,63.3,499.46,SYNTHETIC
2024-02-26,87.77,158.78,191.29,60.33,527.82,SYNTHETIC
2024-02-27,81.09,159.85,196.56,60.83,512.95,SYNTHETIC
2024-02-28,81.69,161.08,181.0,59.97,535.08,SYNTHETIC
2024-02-29,83.54,170.1,178.94,59.61,531.62,SYNTHETIC
2024-03-01,87.26,170.29,168.07,59.43,531.77,SYNTHETIC
2024-03-02,89.25,163.13,168.33,60.21,525.68,SYNTHETIC
2024-03-03,99.28,163.09,170.89,60.88,539.55,SYNTHETIC
2024-03-04,95.98,165.03,174.97,57.67,550.0,SYNTHETIC
2024-03-05,101.52,164.25,176.24,58.03,548.78,SYNTHETIC
2024-03-06,105.31,159.75,168.57,61.47,537.89,SYNTHETIC
2024-03-07,102.76,154.41,178.97,57.46,526.35,SYNTHETIC
2024-03-08,102.31,143.87,170.58,55.53,531.47,SYNTHETIC
2024-03-09,99.41,146.66,169.46,54.13,501.72,SYNTHETIC
2024-03-10,99.08,141.49,165.29,50.18,479.99,SYNTHETIC
2024-03-11,97.49,137.6,162.44,46.66,478.12,SYNTHETIC
2024-03-12,95.94,140.72,160.0,44.99,479.85,SYNTHETIC
2024-03-13,96.19,147.18,169.1,47.59,472.06,SYNTHETIC
2024-03-14,92.31,140.79,175.6,47.08,465.04,SYNTHETIC
2024-03-15,97.19,138.66,177.21,45.45,442.68,SYNTHETIC
2024-03-16,100.94,136.33,177.27,45.4,436.74,SYNTHETIC
2024-03-17,98.28,139.46,171.62,46.67,433.74,SYNTHETIC
2024-03-18,101.93,133.23,172.06,47.89,436.17,SYNTHETIC
2024-03-19,97.82,128.59,166.9,48.19,441.94,SYNTHETIC
2024-03-20,90.9,131.4,168.83,53.68,417.32,SYNTHETIC
2024-03-21,92.58,128.0,172.87,54.25,435.35,SYNTHETIC
2024-03-22,95.14,122.13,172.32,55.14,408.9,SYNTHETIC
2024-03-23,92.48,122.51,176.3,54.07,414.52,SYNTHETIC
2024-03-24,94.96,117.45,181.48,52.37,408.42,SYNTHETIC
2024-03-25,103.1,116.37,188.08,50.12,419.65,SYNTHETIC
2024-03-26,115.21,124.66,202.7,47.69,425.48,SYNTHETIC
2024-03-27,111.41,123.98,193.14,49.01,422.3,SYNTHETIC
2024-03-28,112.52,123.56,185.17,49.51,417.69,SYNTHETIC
2024-03-29,107.38,121.15,177.53,48.41,396.95,SYNTHETIC
2024-03-30,118.63,112.49,177.21,47.91,395.53,SYNTHETIC
2024-03-31,116.48,114.24,167.12,50.24,386.45,SYNTHETIC
2024-04-01,119.58,120.99,164.73,49.97,375.01,SYNTHETIC
2024-04-02,119.52,129.04,171.98,50.19,361.7,SYNTHETIC
2024-04-03,114.86,146.43,178.29,50.91,362.18,SYNTHETIC
2024-04-04,113.74,144.5,190.81,52.03,357.47,SYNTHETIC
2024-04-05,108.06,145.6,197.52,50.61,368.37,SYNTHETIC
2024-04-06,105.41,138.86,205.17,45.81,362.1,SYNTHETIC
2024-04-07,104.33,150.0,201.84,42.18,344.57,SYNTHETIC
2024-04-08,105.25,155.7,199.79,43.27,335.8,SYNTHETIC
2024-04-09,96.16,161.07,206.45,42.47,336.99,SYNTHETIC
2024-04-10,96.16,164.12,212.8,42.16,315.87,SYNTHETIC
2024-04-11,106.64,162.72,199.57,39.11,332.92,SYNTHETIC
2024-04-12,102.78,146.92,190.36,37.99,331.03,SYNTHETIC
2024-04-13,104.15,154.25,184.26,38.74,330.36,SYNTHETIC
2024-04-14,102.48,157.9,179.13,39.31,332.89,SYNTHETIC
2024-04-15,91.27,159.0,189.37,37.62,341.77,SYNTHETIC
2024-04-16,87.7,153.57,202.78,35.83,350.4,SYNTHETIC
2024-04-17,85.49,158.44,205.52,40.26,341.86,SYNTHETIC
2024-04-18,89.46,159.77,208.27,40.2,333.96,SYNTHETIC
2024-04-19,89.79,160.48,222.16,40.43,358.49,SYNTHETIC
2024-04-20,89.37,153.33,225.25,38.18,333.6,SYNTHETIC
2024-04-21,92.53,146.26,229.03,37.12,322.35,SYNTHETIC
2024-04-22,93.42,145.57,231.41,37.1,312.83,SYNTHETIC
2024-04-23,93.11,144.79,233.74,35.34,324.96,SYNTHETIC
2024-04-24,96.14,138.43,242.84,36.11,329.4,SYNTHETIC
2024-04-25,90.9,148.88,247.35,35.0,334.17,SYNTHETIC
2024-04-26,90.5,146.03,247.26,35.0,324.59,SYNTHETIC
2024-04-27,95.95,145.49,243.83,35.0,329.51,SYNTHETIC
2024-04-28,87.66,146.91,245.05,35.0,318.92,SYNTHETIC
2024-04-29,85.02,155.57,232.78,35.0,313.38,SYNTHETIC
2024-04-30,86.24,150.53,235.69,35.84,305.56,SYNTHETIC
2024-05-01,87.72,149.15,236.18,35.0,298.33,SYNTHETIC
2024-05-02,86.89,141.27,238.02,35.23,287.91,SYNTHETIC
2024-05-03,89.15,147.53,229.47,35.53,292.24,SYNTHETIC
2024-05-04,86.08,149.9,232.51,36.78,297.51,SYNTHETIC
2024-05-05,90.57,150.6,233.48,38.95,289.29,SYNTHETIC
2024-05-06,91.78,152.04,233.09,38.14,285.52,SYNTHETIC
2024-05-07,99.44,162.63,235.35,36.34,292.5,SYNTHETIC
2024-05-08,102.99,161.4,229.16,37.29,296.01,SYNTHETIC
2024-05-09,105.26,157.36,218.74,39.53,314.88,SYNTHETIC
2024-05-10,110.92,153.45,221.95,39.3,313.03,SYNTHETIC
2024-05-11,107.53,159.3,206.49,39.64,318.22,SYNTHETIC
2024-05-12,106.28,162.35,210.99,39.71,327.36,SYNTHETIC
2024-05-13,99.24,164.67,225.69,39.86,316.39,SYNTHETIC
2024-05-14,102.89,160.16,228.14,41.58,304.61,SYNTHETIC
2024-05-15,109.57,162.93,233.91,41.17,289.58,SYNTHETIC
2024-05-16,107.49,165.96,244.96,42.79,296.28,SYNTHETIC
2024-05-17,102.55,165.95,251.65,43.99,295.52,SYNTHETIC
2024-05-18,107.12,164.51,266.8,48.62,300.23,SYNTHETIC
2024-05-19,104.11,166.74,259.53,47.37,303.28,SYNTHETIC
2024-05-20,102.12,168.47,256.15,49.9,307.25,SYNTHETIC
2024-05-21,108.36,164.88,258.63,51.66,316.26,SYNTHETIC
2024-05-22,106.82,162.39,246.36,49.31,312.67,SYNTHETIC
2024-05-23,106.02,151.54,245.66,50.61,322.97,SYNTHETIC
2024-05-24,112.44,154.84,245.49,51.97,331.4,SYNTHETIC
2024-05-25,114.58,153.81,253.94,50.84,315.69,SYNTHETIC
2024-05-26,110.04,162.76,260.56,46.04,314.1,SYNTHETIC
2024-05-27,115.91,151.49,264.91,47.8,333.96,SYNTHETIC
2024-05-28,108.62,152.22,268.66,45.42,377.95,SYNTHETIC
2024-05-29,112.54,155.47,267.87,45.36,377.45,SYNTHETIC
2024-05-30,114.27,150.89,268.72,42.1,377.8,SYNTHETIC
2024-05-31,111.9,153.52,272.82,43.67,358.15,SYNTHETIC
2024-06-01,108.58,154.88,278.58,40.34,359.93,SYNTHETIC
2024-06-02,104.02,157.69,272.08,39.6,359.51,SYNTHETIC
2024-06-03,110.97,155.85,273.93,38.93,353.1,SYNTHETIC
2024-06-04,111.29,136.39,272.05,39.4,374.88,SYNTHETIC
2024-06-05,108.58,136.97,272.61,36.9,377.5,SYNTHETIC
2024-06-06,110.77,137.61,279.38,38.36,365.61,SYNTHETIC
2024-06-07,115.42,133.28,276.14,39.83,352.78,SYNTHETIC
2024-06-08,116.38,125.5,268.28,39.56,362.15,SYNTHETIC
2024-06-09,118.83,129.0,260.7,39.45,354.91,SYNTHETIC
2024-06-10,122.23,131.65,255.67,35.0,344.18,SYNTHETIC
2024-06-11,121.95,141.33,259.04,38.81,324.65,SYNTHETIC
2024-06-12,122.71,136.46,256.9,38.84,324.14,SYNTHETIC
2024-06-13,121.72,143.66,251.79,40.62,332.4,SYNTHETIC
2024-06-14,117.25,143.67,256.4,41.42,343.09,SYNTHETIC
2024-06-15,111.81,140.6,256.61,41.94,346.71,SYNTHETIC
2024-06-16,113.41,143.58,260.6,43.71,367.12,SYNTHETIC
2024-06-17,110.32,148.75,274.94,42.77,353.11,SYNTHETIC
2024-06-18,110.08,145.38,286.74,45.18,355.96,SYNTHETIC
2024-06-19,108.94,154.67,287.49,48.63,360.97,SYNTHETIC
2024-06-20,112.7,154.42,288.18,49.22,341.66,SYNTHETIC
2024-06-21,113.59,146.66,294.27,49.08,340.13,SYNTHETIC
2024-06-22,114.56,139.66,301.36,51.21,327.78,SYNTHETIC
2024-06-23,113.13,146.1,296.82,52.15,331.53,SYNTHETIC
2024-06-24,112.33,142.63,286.32,51.49,322.46,SYNTHETIC
2024-06-25,110.75,143.1,290.7,50.91,331.44,SYNTHETIC
2024-06-26,111.58,143.66,290.51,51.28,351.44,SYNTHETIC
2024-06-27,104.49,142.89,293.02,52.92,349.37,SYNTHETIC
2024-06-28,104.43,148.69,294.99,51.98,342.19,SYNTHETIC
2024-06-29,105.92,145.58,288.23,53.65,328.35,SYNTHETIC
2024-06-30,107.47,138.78,282.95,57.62,334.13,SYNTHETIC
2024-07-01,103.09,125.0,288.88,58.73,323.93,SYNTHETIC
2024-07-02,101.46,124.66,286.03,58.49,336.21,SYNTHETIC
2024-07-03,100.04,123.46,278.91,59.52,356.99,SYNTHETIC
2024-07-04,98.03,131.3,275.51,58.5,378.21,SYNTHETIC
2024-07-05,93.37,127.29,276.91,56.16,400.09,SYNTHETIC
2024-07-06,89.37,133.75,271.92,54.61,401.02,SYNTHETIC
2024-07-07,89.88,132.17,282.78,51.88,406.12,SYNTHETIC
2024-07-08,91.88,142.69,286.9,53.9,396.16,SYNTHETIC
2024-07-09,92.87,136.78,274.8,52.98,379.88,SYNTHETIC
2024-07-10,89.75,134.45,275.04,49.34,388.76,SYNTHETIC
2024-07-11,91.75,138.66,284.65,50.53,371.47,SYNTHETIC
2024-07-12,91.35,145.82,306.11,51.39,383.53,SYNTHETIC
2024-07-13,89.78,150.74,300.66,52.11,373.09,SYNTHETIC
2024-07-14,86.54,142.46,298.82,49.51,370.73,SYNTHETIC
2024-07-15,85.06,148.93,287.36,47.44,391.74,SYNTHETIC
2024-07-16,88.53,148.65,289.57,51.19,394.57,SYNTHETIC
2024-07-17,88.29,138.67,291.18,50.09,400.4,SYNTHETIC
2024-07-18,88.3,135.35,291.38,51.15,396.73,SYNTHETIC
2024-07-19,84.8,133.38,282.01,51.51,406.67,SYNTHETIC
2024-07-20,96.57,128.75,285.93,48.84,402.99,SYNTHETIC
2024-07-21,87.76,136.87,297.08,46.08,391.35,SYNTHETIC
2024-07-22,80.17,140.17,304.66,47.34,379.24,SYNTHETIC
2024-07-23,78.82,147.0,305.08,46.95,360.48,SYNTHETIC
2024-07-24,80.4,141.54,302.6,46.63,345.76,SYNTHETIC
2024-07-25,88.23,131.48,306.82,48.96,354.49,SYNTHETIC
2024-07-26,90.79,134.41,303.66,45.9,353.99,SYNTHETIC
2024-07-27,92.42,134.75,283.87,46.05,343.04,SYNTHETIC
2024-07-28,96.48,140.06,270.25,48.66,353.19,SYNTHETIC
2024-07-29,97.12,144.02,278.57,50.54,355.9,SYNTHETIC
2024-07-30,89.54,144.85,286.42,50.12,361.71,SYNTHETIC
2024-07-31,91.02,149.54,283.88,51.21,350.16,SYNTHETIC
2024-08-01,92.31,149.76,276.7,52.57,345.19,SYNTHETIC
2024-08-02,101.37,150.75,273.18,50.89,350.08,SYNTHETIC
2024-08-03,98.6,162.35,262.85,48.06,347.42,SYNTHETIC
2024-08-04,103.82,169.53,260.0,50.0,360.14,SYNTHETIC
2024-08-05,98.41,162.48,271.23,50.26,369.82,SYNTHETIC
2024-08-06,104.74,152.43,265.57,54.04,387.99,SYNTHETIC
2024-08-07,105.28,160.26,258.87,52.78,391.5,SYNTHETIC
2024-08-08,108.62,157.14,248.49,54.84,383.58,SYNTHETIC
2024-08-09,111.33,155.92,249.22,56.51,384.06,SYNTHETIC
2024-08-10,113.85,152.59,241.84,57.45,411.9,SYNTHETIC
2024-08-11,113.97,154.24,245.85,57.43,424.29,SYNTHETIC
2024-08-12,111.08,151.4,243.04,55.47,421.56,SYNTHETIC
2024-08-13,110.26,143.97,254.23,54.87,429.27,SYNTHETIC
2024-08-14,107.04,133.16,257.51,53.89,425.82,SYNTHETIC
2024-08-15,106.53,118.98,259.91,53.97,421.05,SYNTHETIC
2024-08-16,100.05,113.18,249.06,51.91,433.8,SYNTHETIC
2024-08-17,100.89,121.2,248.5,52.49,437.85,SYNTHETIC
2024-08-18,104.92,116.04,249.91,56.13,447.91,SYNTHETIC
2024-08-19,109.73,116.5,251.56,54.34,467.52,SYNTHETIC
2024-08-20,114.84,123.82,253.26,55.42,459.83,SYNTHETIC
2024-08-21,115.15,132.11,253.29,51.63,461.96,SYNTHETIC
2024-08-22,114.23,128.97,244.28,52.73,471.74,SYNTHETIC
2024-08-23,112.93,133.51,226.83,53.32,479.44,SYNTHETIC
2024-08-24,114.26,131.42,218.85,51.55,472.96,SYNTHETIC
2024-08-25,116.85,120.0,225.98,52.76,471.72,SYNTHETIC
2024-08-26,117.85,126.24,231.43,53.04,492.98,SYNTHETIC
2024-08-27,112.08,127.24,239.14,56.72,484.03,SYNTHETIC
2024-08-28,117.38,122.3,240.96,56.89,487.53,SYNTHETIC
2024-08-29,118.92,123.98,242.03,57.62,491.31,SYNTHETIC
2024-08-30,122.47,126.38,241.6,57.25,471.9,SYNTHETIC
2024-08-31,122.15,127.72,229.1,54.94,477.86,SYNTHETIC
2024-09-01,120.59,122.22,230.12,60.15,459.78,SYNTHETIC
2024-09-02,127.87,121.62,225.33,60.36,460.76,SYNTHETIC
2024-09-03,122.9,123.91,220.93,60.81,473.96,SYNTHETIC
2024-09-04,115.61,128.84,213.99,60.81,466.12,SYNTHETIC
2024-09-05,123.27,127.82,213.67,57.7,446.16,SYNTHETIC
2024-09-06,123.68,121.63,220.23,54.9,444.55,SYNTHETIC
2024-09-07,121.41,124.64,225.82,51.55,443.03,SYNTHETIC
2024-09-08,118.58,132.45,218.88,54.3,443.22,SYNTHETIC
2024-09-09,110.15,129.07,220.6,55.33,444.68,SYNTHETIC
2024-09-10,117.46,132.38,220.06,54.65,446.79,SYNTHETIC
2024-09-11,119.91,138.86,205.98,51.8,427.89,SYNTHETIC
2024-09-12,121.5,145.24,212.91,50.23,439.82,SYNTHETIC
2024-09-13,124.3,153.18,208.56,50.17,412.62,SYNTHETIC
2024-09-14,120.06,154.55,212.91,47.85,407.71,SYNTHETIC
2024-09-15,121.44,162.63,207.55,49.81,416.83,SYNTHETIC
2024-09-16,125.29,170.18,213.31,48.36,406.93,SYNTHETIC
2024-09-17,115.86,164.46,222.22,48.0,388.97,SYNTHETIC
2024-09-18,117.92,165.71,223.99,48.01,379.76,SYNTHETIC
2024-09-19,120.52,166.48,227.69,43.84,373.92,SYNTHETIC
2024-09-20,120.46,161.71,222.92,45.79,398.1,SYNTHETIC
2024-09-21,116.45,159.19,220.63,46.15,379.81,SYNTHETIC
2024-09-22,115.44,146.66,212.78,41.98,384.86,SYNTHETIC
2024-09-23,113.29,150.76,220.33,41.59,382.36,SYNTHETIC
2024-09-24,114.49,155.58,228.63,41.32,372.52,SYNTHETIC
2024-09-25,112.08,162.1,225.06,39.66,356.09,SYNTHETIC
2024-09-26,114.93,169.64,225.2,40.82,342.31,SYNTHETIC
2024-09-27,112.56,165.27,220.4,43.65,347.18,SYNTHETIC
2024-09-28,110.25,163.68,211.23,44.68,355.93,SYNTHETIC
2024-09-29,114.77,172.35,207.85,42.17,372.19,SYNTHETIC
2024-09-30,113.83,178.02,199.77,41.2,360.88,SYNTHETIC
