date,bdi,bci,bsi,bhsi,data_source
2023-10-24,1197,1556,882,562,SYNTHETIC
2023-10-25,1216,1552,1002,655,SYNTHETIC
2023-10-26,1290,1662,1071,592,SYNTHETIC
2023-10-27,1347,1764,954,707,SYNTHETIC
2023-10-28,1379,1627,1043,777,SYNTHETIC
2023-10-29,1435,1878,981,668,SYNTHETIC
2023-10-30,1475,1954,1142,735,SYNTHETIC
2023-10-31,1426,1900,967,773,SYNTHETIC
2023-11-01,1371,1646,961,619,SYNTHETIC
2023-11-02,1337,1753,1110,783,SYNTHETIC
2023-11-03,1382,1633,1020,717,SYNTHETIC
2023-11-04,1365,1731,1062,730,SYNTHETIC
2023-11-05,1556,1868,1274,762,SYNTHETIC
2023-11-06,1489,1827,1112,740,SYNTHETIC
2023-11-07,1401,1772,1072,909,SYNTHETIC
2023-11-08,1466,1772,1239,852,SYNTHETIC
2023-11-09,1581,1904,1206,928,SYNTHETIC
2023-11-10,1619,2103,1068,924,SYNTHETIC
2023-11-11,1682,2101,1397,853,SYNTHETIC
2023-11-12,1790,2345,1381,932,SYNTHETIC
2023-11-13,1774,2266,1373,1039,SYNTHETIC
2023-11-14,1652,2138,1292,1020,SYNTHETIC
2023-11-15,1605,2048,1333,930,SYNTHETIC
2023-11-16,1678,2034,1239,949,SYNTHETIC
2023-11-17,1557,2019,1040,792,SYNTHETIC
2023-11-18,1558,2025,1067,742,SYNTHETIC
2023-11-19,1577,1983,1331,877,SYNTHETIC
2023-11-20,1549,2065,1264,776,SYNTHETIC
2023-11-21,1606,2111,1198,981,SYNTHETIC
2023-11-22,1649,2142,1183,780,SYNTHETIC
2023-11-23,1830,2457,1241,1177,SYNTHETIC
2023-11-24,1870,2472,1486,1208,SYNTHETIC
2023-11-25,1810,2432,1468,947,SYNTHETIC
2023-11-26,1756,2297,1146,978,SYNTHETIC
2023-11-27,1681,2087,1319,982,SYNTHETIC
2023-11-28,1752,2220,1427,1118,SYNTHETIC
2023-11-29,1699,1991,1184,773,SYNTHETIC
2023-11-30,1688,2239,1286,1068,SYNTHETIC
2023-12-01,1742,2080,1154,1071,SYNTHETIC
2023-12-02,1677,2233,1191,891,SYNTHETIC
2023-12-03,1648,1941,1383,842,SYNTHETIC
2023-12-04,1496,1868,1001,939,SYNTHETIC
2023-12-05,1410,1659,1044,823,SYNTHETIC
2023-12-06,1367,1775,1147,729,SYNTHETIC
2023-12-07,1404,1823,956,748,SYNTHETIC
2023-12-08,1503,1758,1124,799,SYNTHETIC
2023-12-09,1501,2012,985,786,SYNTHETIC
2023-12-10,1522,1885,1278,945,SYNTHETIC
2023-12-11,1535,1795,1208,857,SYNTHETIC
2023-12-12,1620,2180,1169,858,SYNTHETIC
2023-12-13,1688,2006,1138,1046,SYNTHETIC
2023-12-14,1704,2115,1334,986,SYNTHETIC
2023-12-15,1617,2053,1058,982,SYNTHETIC
2023-12-16,1686,2021,1138,949,SYNTHETIC
2023-12-17,1711,1991,1374,841,SYNTHETIC
2023-12-18,1803,2151,1485,929,SYNTHETIC
2023-12-19,1791,2113,1487,807,SYNTHETIC
2023-12-20,1939,2563,1316,923,SYNTHETIC
2023-12-21,1897,2277,1299,1104,SYNTHETIC
2023-12-22,2012,2325,1314,1223,SYNTHETIC
2023-12-23,2006,2403,1434,972,SYNTHETIC
2023-12-24,1950,2263,1556,1082,SYNTHETIC
2023-12-25,1846,2398,1376,1118,SYNTHETIC
2023-12-26,1823,2284,1225,1004,SYNTHETIC
2023-12-27,1928,2581,1270,1169,SYNTHETIC
2023-12-28,1980,2621,1493,1072,SYNTHETIC
2023-12-29,2021,2714,1338,1103,SYNTHETIC
2023-12-30,1815,2233,1429,995,SYNTHETIC
2023-12-31,1863,2481,1238,868,SYNTHETIC
2024-01-01,1896,2411,1257,957,SYNTHETIC
2024-01-02,1840,2349,1398,948,SYNTHETIC
2024-01-03,1780,2401,1346,962,SYNTHETIC
2024-01-04,1771,2251,1186,1045,SYNTHETIC
2024-01-05,1901,2511,1483,1148,SYNTHETIC
2024-01-06,1805,2336,1250,975,SYNTHETIC
2024-01-07,1761,2106,1264,952,SYNTHETIC
2024-01-08,1862,2297,1246,997,SYNTHETIC
2024-01-09,1816,2330,1316,872,SYNTHETIC
2024-01-10,1777,2372,1179,1095,SYNTHETIC
2024-01-11,1777,2076,1189,1062,SYNTHETIC
2024-01-12,1669,2190,1270,947,SYNTHETIC
2024-01-13,1681,2123,1204,797,SYNTHETIC
2024-01-14,1579,1928,1237,947,SYNTHETIC
2024-01-15,1648,2181,1308,1060,SYNTHETIC
2024-01-16,1643,2087,1184,929,SYNTHETIC
2024-01-17,1822,2173,1423,901,SYNTHETIC
2024-01-18,1835,2150,1503,960,SYNTHETIC
2024-01-19,1934,2519,1479,1182,SYNTHETIC
2024-01-20,1817,2396,1535,1115,SYNTHETIC
2024-01-21,1797,2288,1399,818,SYNTHETIC
2024-01-22,1814,2424,1480,913,SYNTHETIC
2024-01-23,1944,2306,1537,995,SYNTHETIC
2024-01-24,1797,2188,1170,1121,SYNTHETIC
2024-01-25,1867,2359,1363,893,SYNTHETIC
2024-01-26,1903,2430,1249,1140,SYNTHETIC
2024-01-27,2014,2403,1478,1043,SYNTHETIC
2024-01-28,2055,2516,1632,1244,SYNTHETIC
2024-01-29,2043,2581,1362,940,SYNTHETIC
2024-01-30,1985,2345,1535,1160,SYNTHETIC
2024-01-31,1870,2253,1463,1023,SYNTHETIC
2024-02-01,1875,2322,1321,1127,SYNTHETIC
2024-02-02,1848,2168,1360,936,SYNTHETIC
2024-02-03,1999,2571,1494,1166,SYNTHETIC
2024-02-04,1936,2244,1411,1103,SYNTHETIC
2024-02-05,1948,2243,1384,959,SYNTHETIC
2024-02-06,1809,2130,1268,933,SYNTHETIC
2024-02-07,1768,2036,1413,858,SYNTHETIC
2024-02-08,1781,2184,1408,979,SYNTHETIC
2024-02-09,1839,2421,1491,854,SYNTHETIC
2024-02-10,1944,2571,1280,882,SYNTHETIC
2024-02-11,1927,2572,1585,1089,SYNTHETIC
2024-02-12,1825,2308,1445,974,SYNTHETIC
2024-02-13,1852,2173,1211,953,SYNTHETIC
2024-02-14,1883,2467,1456,1160,SYNTHETIC
2024-02-15,1911,2549,1275,1182,SYNTHETIC
2024-02-16,1842,2208,1414,1022,SYNTHETIC
2024-02-17,1923,2363,1369,995,SYNTHETIC
2024-02-18,1917,2332,1310,1058,SYNTHETIC
2024-02-19,1960,2299,1474,1237,SYNTHETIC
2024-02-20,2049,2499,1629,1257,SYNTHETIC
2024-02-21,2081,2732,1451,997,SYNTHETIC
2024-02-22,2086,2482,1607,1256,SYNTHETIC
2024-02-23,2241,2871,1536,1355,SYNTHETIC
2024-02-24,2238,2795,1792,1347,SYNTHETIC
2024-02-25,2192,2718,1830,1234,SYNTHETIC
2024-02-26,2180,2785,1690,1358,SYNTHETIC
2024-02-27,2279,2906,1550,1056,SYNTHETIC
2024-02-28,2265,2805,1609,1143,SYNTHETIC
2024-02-29,2283,2652,1716,1169,SYNTHETIC
2024-03-01,2356,2922,1558,1452,SYNTHETIC
2024-03-02,2289,2667,1883,1421,SYNTHETIC
2024-03-03,2127,2708,1598,1154,SYNTHETIC
2024-03-04,2132,2688,1723,1341,SYNTHETIC
2024-03-05,2132,2643,1731,1237,SYNTHETIC
2024-03-06,2064,2506,1538,991,SYNTHETIC
2024-03-07,2117,2460,1419,1333,SYNTHETIC
2024-03-08,2147,2616,1702,1182,SYNTHETIC
2024-03-09,2048,2426,1432,1101,SYNTHETIC
2024-03-10,2073,2566,1564,998,SYNTHETIC
2024-03-11,2040,2498,1441,1084,SYNTHETIC
2024-03-12,1905,2320,1466,1158,SYNTHETIC
2024-03-13,1929,2468,1279,904,SYNTHETIC
2024-03-14,1913,2459,1352,1137,SYNTHETIC
2024-03-15,1841,2358,1530,1150,SYNTHETIC
2024-03-16,1872,2278,1435,895,SYNTHETIC
2024-03-17,1900,2318,1603,1120,SYNTHETIC
2024-03-18,1842,2263,1416,1174,SYNTHETIC
2024-03-19,1864,2259,1352,1133,SYNTHETIC
2024-03-20,1934,2539,1516,1191,SYNTHETIC
2024-03-21,1864,2419,1467,1035,SYNTHETIC
2024-03-22,1883,2409,1384,984,SYNTHETIC
2024-03-23,1872,2289,1284,922,SYNTHETIC
2024-03-24,2042,2736,1526,1011,SYNTHETIC
2024-03-25,1877,2210,1249,1161,SYNTHETIC
2024-03-26,1921,2248,1545,1185,SYNTHETIC
2024-03-27,1884,2500,1239,974,SYNTHETIC
2024-03-28,1865,2430,1261,979,SYNTHETIC
2024-03-29,2006,2372,1637,1212,SYNTHETIC
2024-03-30,1990,2610,1359,1069,SYNTHETIC
2024-03-31,2154,2655,1692,1072,SYNTHETIC
2024-04-01,2099,2601,1484,1259,SYNTHETIC
2024-04-02,2109,2615,1596,1080,SYNTHETIC
2024-04-03,2052,2692,1526,1266,SYNTHETIC
2024-04-04,1980,2423,1662,1281,SYNTHETIC
2024-04-05,1971,2448,1392,1037,SYNTHETIC
2024-04-06,1934,2428,1631,1186,SYNTHETIC
2024-04-07,1937,2538,1313,968,SYNTHETIC
2024-04-08,1755,2244,1448,984,SYNTHETIC
2024-04-09,1908,2233,1563,1183,SYNTHETIC
2024-04-10,1882,2272,1511,950,SYNTHETIC
2024-04-11,2010,2676,1366,1080,SYNTHETIC
2024-04-12,1914,2564,1329,1034,SYNTHETIC
2024-04-13,1925,2349,1262,887,SYNTHETIC
2024-04-14,2166,2708,1510,1405,SYNTHETIC
2024-04-15,2076,2543,1361,1321,SYNTHETIC
2024-04-16,1939,2556,1513,1179,SYNTHETIC
2024-04-17,1882,2217,1331,1159,SYNTHETIC
2024-04-18,1909,2461,1293,1128,SYNTHETIC
2024-04-19,1952,2420,1271,909,SYNTHETIC
2024-04-20,2042,2452,1668,1143,SYNTHETIC
2024-04-21,2005,2597,1515,946,SYNTHETIC
2024-04-22,1861,2248,1322,855,SYNTHETIC
2024-04-23,1816,2241,1468,983,SYNTHETIC
2024-04-24,1905,2234,1583,1085,SYNTHETIC
2024-04-25,1931,2227,1454,962,SYNTHETIC
2024-04-26,1761,2076,1296,1009,SYNTHETIC
2024-04-27,1750,2097,1283,1020,SYNTHETIC
2024-04-28,1855,2165,1567,859,SYNTHETIC
2024-04-29,2014,2528,1513,1304,SYNTHETIC
2024-04-30,2044,2577,1488,1112,SYNTHETIC
2024-05-01,2052,2621,1736,1027,SYNTHETIC
2024-05-02,1936,2233,1564,1005,SYNTHETIC
2024-05-03,1856,2406,1439,1121,SYNTHETIC
2024-05-04,1849,2398,1325,848,SYNTHETIC
2024-05-05,1879,2366,1527,911,SYNTHETIC
2024-05-06,1914,2499,1422,1127,SYNTHETIC
2024-05-07,1863,2378,1513,862,SYNTHETIC
2024-05-08,1760,2297,1305,895,SYNTHETIC
2024-05-09,1690,1958,1166,774,SYNTHETIC
2024-05-10,1592,2128,1198,1031,SYNTHETIC
2024-05-11,1640,2065,1149,985,SYNTHETIC
2024-05-12,1451,1724,1047,879,SYNTHETIC
2024-05-13,1426,1887,1021,677,SYNTHETIC
2024-05-14,1464,1792,1212,876,SYNTHETIC
2024-05-15,1587,2109,1154,1023,SYNTHETIC
2024-05-16,1590,1986,1192,1009,SYNTHETIC
2024-05-17,1667,2091,1351,993,SYNTHETIC
2024-05-18,1630,1901,1256,1002,SYNTHETIC
2024-05-19,1567,1973,1119,730,SYNTHETIC
2024-05-20,1511,1937,1075,862,SYNTHETIC
2024-05-21,1633,2017,1286,849,SYNTHETIC
2024-05-22,1708,1979,1408,889,SYNTHETIC
2024-05-23,1741,2350,1227,1125,SYNTHETIC
2024-05-24,2000,2680,1330,1155,SYNTHETIC
2024-05-25,1983,2424,1606,1161,SYNTHETIC
2024-05-26,2018,2705,1369,1153,SYNTHETIC
2024-05-27,2027,2648,1331,939,SYNTHETIC
2024-05-28,1993,2603,1442,1049,SYNTHETIC
2024-05-29,2164,2734,1668,1267,SYNTHETIC
2024-05-30,2264,3034,1640,1364,SYNTHETIC
2024-05-31,2129,2693,1610,1128,SYNTHETIC
2024-06-01,2079,2661,1455,982,SYNTHETIC
2024-06-02,2095,2718,1571,1105,SYNTHETIC
2024-06-03,2140,2702,1503,1074,SYNTHETIC
2024-06-04,2013,2495,1710,1021,SYNTHETIC
2024-06-05,1817,2423,1360,862,SYNTHETIC
2024-06-06,1655,2186,1225,1042,SYNTHETIC
2024-06-07,1645,2038,1098,964,SYNTHETIC
2024-06-08,1632,2153,1165,848,SYNTHETIC
2024-06-09,1656,1926,1256,1040,SYNTHETIC
2024-06-10,1590,2099,1259,1010,SYNTHETIC
2024-06-11,1489,1902,1204,821,SYNTHETIC
2024-06-12,1327,1559,916,634,SYNTHETIC
2024-06-13,1359,1778,890,762,SYNTHETIC
2024-06-14,1393,1705,1129,780,SYNTHETIC
2024-06-15,1475,1877,984,755,SYNTHETIC
2024-06-16,1539,2078,1222,854,SYNTHETIC
2024-06-17,1523,1986,1241,708,SYNTHETIC
2024-06-18,1630,2192,1269,880,SYNTHETIC
2024-06-19,1615,2078,1161,1010,SYNTHETIC
2024-06-20,1559,2036,1213,758,SYNTHETIC
2024-06-21,1516,2036,1116,958,SYNTHETIC
2024-06-22,1468,1705,991,705,SYNTHETIC
2024-06-23,1296,1533,926,767,SYNTHETIC
2024-06-24,1315,1603,1102,827,SYNTHETIC
2024-06-25,1340,1768,938,773,SYNTHETIC
2024-06-26,1316,1658,888,672,SYNTHETIC
2024-06-27,1264,1589,949,611,SYNTHETIC
2024-06-28,1301,1742,886,757,SYNTHETIC
2024-06-29,1444,1869,1114,893,SYNTHETIC
2024-06-30,1449,1830,1181,660,SYNTHETIC
2024-07-01,1410,1634,1097,797,SYNTHETIC
2024-07-02,1365,1748,1097,728,SYNTHETIC
2024-07-03,1364,1743,1022,785,SYNTHETIC
2024-07-04,1267,1530,1066,692,SYNTHETIC
2024-07-05,1264,1657,994,644,SYNTHETIC
2024-07-06,1276,1486,844,686,SYNTHETIC
2024-07-07,1430,1783,988,817,SYNTHETIC
2024-07-08,1508,1828,1196,900,SYNTHETIC
2024-07-09,1590,2102,1344,757,SYNTHETIC
2024-07-10,1530,1873,1166,786,SYNTHETIC
2024-07-11,1583,1968,1113,791,SYNTHETIC
2024-07-12,1489,1742,1054,784,SYNTHETIC
2024-07-13,1515,1928,1060,943,SYNTHETIC
2024-07-14,1548,1829,1107,875,SYNTHETIC
2024-07-15,1485,1801,1192,816,SYNTHETIC
2024-07-16,1645,2062,1233,842,SYNTHETIC
2024-07-17,1686,1947,1415,929,SYNTHETIC
2024-07-18,1528,2053,1059,795,SYNTHETIC
2024-07-19,1572,1824,1177,984,SYNTHETIC
2024-07-20,1537,1969,1144,856,SYNTHETIC
2024-07-21,1536,2027,1131,962,SYNTHETIC
2024-07-22,1572,2037,1262,822,SYNTHETIC
2024-07-23,1601,1970,1223,783,SYNTHETIC
2024-07-24,1435,1809,954,790,SYNTHETIC
2024-07-25,1344,1752,949,871,SYNTHETIC
2024-07-26,1411,1815,950,910,SYNTHETIC
2024-07-27,1518,1865,1228,786,SYNTHETIC
2024-07-28,1669,2233,1337,817,SYNTHETIC
2024-07-29,1808,2264,1356,830,SYNTHETIC
2024-07-30,1635,1925,1171,890,SYNTHETIC
2024-07-31,1692,2101,1305,936,SYNTHETIC
2024-08-01,1533,1864,1184,739,SYNTHETIC
2024-08-02,1661,2240,1325,847,SYNTHETIC
2024-08-03,1677,2041,1367,933,SYNTHETIC
2024-08-04,1580,2041,1122,969,SYNTHETIC
2024-08-05,1738,2127,1364,1123,SYNTHETIC
2024-08-06,1783,2258,1443,1061,SYNTHETIC
2024-08-07,1623,2090,1063,884,SYNTHETIC
2024-08-08,1643,2207,1325,994,SYNTHETIC
2024-08-09,1580,2000,1255,895,SYNTHETIC
2024-08-10,1586,1879,1231,910,SYNTHETIC
2024-08-11,1547,2039,1051,906,SYNTHETIC
2024-08-12,1655,1914,1390,781,SYNTHETIC
2024-08-13,1537,1773,1095,738,SYNTHETIC
2024-08-14,1561,2011,1143,944,SYNTHETIC
2024-08-15,1704,2274,1405,1017,SYNTHETIC
2024-08-16,1632,1897,1106,802,SYNTHETIC
2024-08-17,1645,1998,1287,913,SYNTHETIC
2024-08-18,1657,2009,1134,1047,SYNTHETIC
2024-08-19,1597,1946,1151,965,SYNTHETIC
2024-08-20,1646,2130,1281,968,SYNTHETIC
2024-08-21,1649,2098,1135,823,SYNTHETIC
2024-08-22,1569,1980,1090,1011,SYNTHETIC
2024-08-23,1708,2066,1209,839,SYNTHETIC
2024-08-24,1765,2279,1259,917,SYNTHETIC
2024-08-25,1744,2331,1411,880,SYNTHETIC
2024-08-26,1685,1979,1323,886,SYNTHETIC
2024-08-27,1617,2177,1316,1036,SYNTHETIC
2024-08-28,1712,2244,1212,869,SYNTHETIC
2024-08-29,1694,2190,1218,912,SYNTHETIC
2024-08-30,1725,2072,1286,846,SYNTHETIC
2024-08-31,1703,2142,1425,1003,SYNTHETIC
2024-09-01,1746,2056,1350,991,SYNTHETIC
2024-09-02,1730,2073,1356,962,SYNTHETIC
2024-09-03,1784,2279,1178,950,SYNTHETIC
2024-09-04,1761,2278,1180,1064,SYNTHETIC
2024-09-05,1819,2094,1383,1157,SYNTHETIC
2024-09-06,1864,2295,1560,1166,SYNTHETIC
2024-09-07,1843,2296,1271,1185,SYNTHETIC
2024-09-08,1764,2142,1374,1114,SYNTHETIC
2024-09-09,1681,1963,1286,936,SYNTHETIC
2024-09-10,1616,2093,1353,1022,SYNTHETIC
2024-09-11,1534,1818,1268,744,SYNTHETIC
2024-09-12,1602,2138,1361,848,SYNTHETIC
2024-09-13,1595,1993,1336,1025,SYNTHETIC
2024-09-14,1718,2294,1418,776,SYNTHETIC
2024-09-15,1894,2393,1272,1224,SYNTHETIC
2024-09-16,1884,2274,1597,1052,SYNTHETIC
2024-09-17,1749,2184,1465,1084,SYNTHETIC
2024-09-18,1711,2128,1178,808,SYNTHETIC
2024-09-19,1698,2008,1260,851,SYNTHETIC
2024-09-20,1573,1868,1254,957,SYNTHETIC
2024-09-21,1551,1960,1243,752,SYNTHETIC
2024-09-22,1572,2078,1304,968,SYNTHETIC
2024-09-23,1534,1922,1023,895,SYNTHETIC
2024-09-24,1471,1746,997,757,SYNTHETIC
2024-09-25,1411,1693,991,701,SYNTHETIC
2024-09-26,1557,2025,1309,794,SYNTHETIC
2024-09-27,1542,1997,1006,895,SYNTHETIC
2024-09-28,1475,1900,977,698,SYNTHETIC
2024-09-29,1446,1751,1057,796,SYNTHETIC
2024-09-30,1523,2025,1205,780,SYNTHETIC
2024-10-01,1468,1723,1223,747,SYNTHETIC
2024-10-02,1507,1919,1046,718,SYNTHETIC
2024-10-03,1565,1848,1252,894,SYNTHETIC
2024-10-04,1623,2002,1233,883,SYNTHETIC
2024-10-05,1732,2178,1355,855,SYNTHETIC
2024-10-06,1681,2016,1346,1050,SYNTHETIC
2024-10-07,1766,2060,1305,1043,SYNTHETIC
2024-10-08,1694,1975,1292,783,SYNTHETIC
2024-10-09,1657,2087,1244,935,SYNTHETIC
2024-10-10,1748,2063,1251,968,SYNTHETIC
2024-10-11,1806,2119,1248,1023,SYNTHETIC
2024-10-12,1797,2100,1351,1099,SYNTHETIC
2024-10-13,1693,2101,1274,916,SYNTHETIC
2024-10-14,1732,2012,1286,1059,SYNTHETIC
2024-10-15,1675,2168,1221,1027,SYNTHETIC
2024-10-16,1595,2073,1221,732,SYNTHETIC
2024-10-17,1541,1878,1021,1000,SYNTHETIC
2024-10-18,1559,2085,1035,993,SYNTHETIC
2024-10-19,1388,1605,1015,838,SYNTHETIC
2024-10-20,1420,1851,1201,822,SYNTHETIC
2024-10-21,1436,1773,1219,756,SYNTHETIC
2024-10-22,1391,1842,1157,730,SYNTHETIC
2024-10-23,1478,1901,1156,824,SYNTHETIC
2024-10-24,1527,1956,1099,741,SYNTHETIC
2024-10-25,1478,1858,1117,880,SYNTHETIC
2024-10-26,1425,1702,927,647,SYNTHETIC
2024-10-27,1483,1794,1163,828,SYNTHETIC
2024-10-28,1362,1711,1109,680,SYNTHETIC
2024-10-29,1339,1633,944,854,SYNTHETIC
2024-10-30,1294,1676,870,791,SYNTHETIC
2024-10-31,1306,1611,1049,818,SYNTHETIC
2024-11-01,1328,1532,918,624,SYNTHETIC
2024-11-02,1336,1546,1028,789,SYNTHETIC
2024-11-03,1432,1661,1143,759,SYNTHETIC
2024-11-04,1452,1738,1007,904,SYNTHETIC
2024-11-05,1429,1659,1072,725,SYNTHETIC
2024-11-06,1334,1752,1062,685,SYNTHETIC
2024-11-07,1397,1773,1095,718,SYNTHETIC
2024-11-08,1442,1745,978,839,SYNTHETIC
2024-11-09,1560,1863,1107,721,SYNTHETIC
2024-11-10,1498,2007,1237,947,SYNTHETIC
2024-11-11,1500,1913,1103,824,SYNTHETIC
2024-11-12,1495,2011,1254,874,SYNTHETIC
2024-11-13,1489,1946,1062,794,SYNTHETIC
2024-11-14,1490,1758,1080,895,SYNTHETIC
2024-11-15,1353,1684,1109,690,SYNTHETIC
2024-11-16,1423,1838,1154,901,SYNTHETIC
2024-11-17,1478,1866,1247,830,SYNTHETIC
2024-11-18,1569,1846,1096,770,SYNTHETIC
2024-11-19,1747,2235,1458,1082,SYNTHETIC
2024-11-20,1714,2003,1362,836,SYNTHETIC
2024-11-21,1705,2052,1337,972,SYNTHETIC
2024-11-22,1699,2251,1168,1023,SYNTHETIC
2024-11-23,1849,2394,1408,1009,SYNTHETIC
2024-11-24,1700,2250,1218,1090,SYNTHETIC
2024-11-25,1732,1998,1451,1113,SYNTHETIC
2024-11-26,1608,1887,1366,877,SYNTHETIC
2024-11-27,1398,1676,1078,686,SYNTHETIC
2024-11-28,1239,1652,942,750,SYNTHETIC
2024-11-29,1137,1394,860,593,SYNTHETIC
2024-11-30,1233,1483,928,677,SYNTHETIC
2024-12-01,1172,1371,991,637,SYNTHETIC
2024-12-02,1163,1533,969,609,SYNTHETIC
2024-12-03,1080,1332,824,534,SYNTHETIC
2024-12-04,1142,1346,801,727,SYNTHETIC
2024-12-05,1064,1347,781,511,SYNTHETIC
2024-12-06,1183,1438,858,729,SYNTHETIC
2024-12-07,1113,1391,869,653,SYNTHETIC
2024-12-08,1063,1277,866,684,SYNTHETIC
2024-12-09,1086,1389,812,525,SYNTHETIC
2024-12-10,1100,1441,752,654,SYNTHETIC
2024-12-11,1226,1530,1022,685,SYNTHETIC
2024-12-12,1244,1591,823,568,SYNTHETIC
2024-12-13,1155,1524,969,674,SYNTHETIC
2024-12-14,1121,1460,821,693,SYNTHETIC
2024-12-15,1086,1300,860,491,SYNTHETIC
2024-12-16,1157,1447,838,663,SYNTHETIC
2024-12-17,1198,1537,926,654,SYNTHETIC
2024-12-18,1197,1494,780,671,SYNTHETIC
2024-12-19,1276,1470,964,644,SYNTHETIC
2024-12-20,1240,1669,810,760,SYNTHETIC
2024-12-21,1237,1590,1004,782,SYNTHETIC
2024-12-22,1260,1475,843,604,SYNTHETIC
2024-12-23,1389,1651,1049,851,SYNTHETIC
2024-12-24,1384,1666,1010,726,SYNTHETIC
2024-12-25,1360,1674,1037,881,SYNTHETIC
2024-12-26,1280,1530,1007,793,SYNTHETIC
2024-12-27,1342,1719,1102,807,SYNTHETIC
2024-12-28,1299,1519,943,728,SYNTHETIC
2024-12-29,1333,1548,869,645,SYNTHETIC
2024-12-30,1186,1482,874,719,SYNTHETIC
2024-12-31,1279,1615,1050,600,SYNTHETIC
2025-01-01,1179,1480,776,580,SYNTHETIC
2025-01-02,1126,1491,932,614,SYNTHETIC
2025-01-03,1222,1417,812,776,SYNTHETIC
2025-01-04,1124,1494,857,513,SYNTHETIC
2025-01-05,1129,1508,804,725,SYNTHETIC
2025-01-06,1146,1452,917,679,SYNTHETIC
2025-01-07,1076,1324,716,519,SYNTHETIC
2025-01-08,1197,1434,977,631,SYNTHETIC
2025-01-09,1325,1762,949,797,SYNTHETIC
2025-01-10,1173,1382,994,698,SYNTHETIC
2025-01-11,1067,1334,901,491,SYNTHETIC
2025-01-12,1145,1416,936,593,SYNTHETIC
2025-01-13,1051,1370,884,556,SYNTHETIC
2025-01-14,1033,1348,678,521,SYNTHETIC
2025-01-15,1058,1426,791,551,SYNTHETIC
2025-01-16,1126,1507,829,660,SYNTHETIC
2025-01-17,1120,1436,747,642,SYNTHETIC
2025-01-18,1139,1491,902,531,SYNTHETIC
2025-01-19,1087,1284,861,627,SYNTHETIC
2025-01-20,1203,1562,858,567,SYNTHETIC
2025-01-21,1172,1349,834,612,SYNTHETIC
2025-01-22,1209,1456,818,589,SYNTHETIC
2025-01-23,1177,1459,896,626,SYNTHETIC
2025-01-24,1195,1381,861,560,SYNTHETIC
2025-01-25,1191,1512,851,627,SYNTHETIC
2025-01-26,1187,1435,864,554,SYNTHETIC
2025-01-27,1115,1484,927,720,SYNTHETIC
2025-01-28,1191,1506,814,626,SYNTHETIC
2025-01-29,1313,1547,932,720,SYNTHETIC
2025-01-30,1338,1556,986,715,SYNTHETIC
2025-01-31,1402,1748,932,701,SYNTHETIC
2025-02-01,1472,1765,1140,837,SYNTHETIC
2025-02-02,1547,1839,1038,790,SYNTHETIC
2025-02-03,1569,2103,1124,901,SYNTHETIC
2025-02-04,1584,2077,1134,819,SYNTHETIC
2025-02-05,1651,2168,1357,1064,SYNTHETIC
2025-02-06,1652,1945,1180,1056,SYNTHETIC
2025-02-07,1569,1868,1119,1009,SYNTHETIC
