date,Capesize,Panamax,Supramax
2024-08-30,30413,13241,15773
2024-09-02,29941,13141,15692
2024-09-03,31770,13129,15585
2024-09-04,31880,13131,15504
2024-09-05,31730,13219,15381
2024-09-06,31727,13302,15297
2024-09-09,32859,13361,15258
2024-09-10,31999,13490,15257
2024-09-11,31608,13613,15317
2024-09-12,32560,13816,15449
2024-09-13,31686,13915,15665
2024-09-19,30958,14321,16152
2024-09-20,32369,14452,16492
2024-09-23,32319,14596,16704
2024-09-24,32120,14848,16858
2024-09-25,32272,14932,17063
2024-09-26,32807,14874,17092
2024-09-27,33056,14742,17065
2024-09-30,33476,14540,16894
2024-10-02,31918,14264,16537
2024-10-04,31096,14187,16162
2024-10-07,29994,14401,16076
2024-10-08,28919,14555,16161
2024-10-10,25863,14488,16236
2024-10-11,25844,14329,16208
2024-10-14,26772,14202,16128
2024-10-15,26204,14014,16019
2024-10-16,24668,13734,15962
2024-10-17,22340,13165,15814
2024-10-18,21170,12798,15646
2024-10-21,20969,12751,15547
2024-10-22,19775,12733,15394
2024-10-23,19266,12800,15377
2024-10-24,18106,12752,15329
2024-10-25,18110,12684,15183
2024-10-28,18291,12581,15056
2024-10-30,18084,12476,14536
2024-10-31,17744,12295,14296
2024-11-01,17903,12264,14129
2024-11-04,17953,12173,13886
2024-11-05,18616,12133,13899
2024-11-06,19131,12094,13753
2024-11-07,20179,12008,13637
2024-11-08,21339,12008,13508
2024-11-11,22274,11927,13240
2024-11-12,25177,12147,13098
2024-11-13,26552,12235,13142
2024-11-14,25993,12068,12901
2024-11-15,28359,12047,12805
2024-11-18,30090,11918,12801
2024-11-19,27981,11856,12702
2024-11-20,26648,11790,12504
2024-11-21,26458,11358,12444
2024-11-22,24919,11096,12368
2024-11-25,24571,11034,12378
2024-11-26,25124,10876,12421
2024-11-27,24671,10731,12377
2024-11-28,23153,10427,12361
2024-11-29,20870,10363,12390
2024-12-02,19874,10340,12383
2024-12-03,17372,10046,12390
2024-12-04,15766,9933,12408
2024-12-05,14483,9971,12432
2024-12-06,13901,10063,12313
2024-12-09,13678,10257,12231
2024-12-10,13899,10251,12211
2024-12-11,13171,10191,12168
2024-12-12,12080,10094,12100
2024-12-13,11759,9998,12165
2024-12-16,11833,9631,12177
2024-12-17,12146,9417,12020
2024-12-18,11602,8854,12004
2024-12-19,10765,8604,12021
2024-12-20,10349,8250,12005
2024-12-23,10991,8124,11851
2024-12-24,11075,8147,11640
2025-01-02,11616,7593,11422
2025-01-03,12638,7740,11353
2025-01-06,12309,8068,11030
2025-01-07,11193,8077,10798
2025-01-08,10938,8026,10676
2025-01-09,10668,7952,10562
2025-01-10,11057,7797,10344
2025-01-13,12758,7630,10165
2025-01-14,13806,7500,10025
2025-01-15,13568,7626,9968
2025-01-16,13176,7546,9891
2025-01-17,12592,7354,9654
2025-01-20,12085,7322,9157
2025-01-21,11750,7304,8752
2025-01-22,11347,7240,8483
2025-01-23,10721,7099,8309
2025-01-24,9927,6982,8106
2025-01-31,9292,7214,7681
2025-02-03,9126,7194,7538
2025-02-04,9145,7367,7570
2025-02-05,9333,7971,7765
2025-02-06,9499,8858,8262
2025-02-07,9698,9146,8750
2025-02-10,9630,9237,8955
2025-02-11,9383,9469,9022
2025-02-12,9165,9507,9161
2025-02-13,8414,9576,9373
2025-02-14,8496,9544,9534
2025-02-17,8552,9557,9746
2025-02-18,8814,9731,9975
2025-02-19,9027,10280,10360
2025-02-20,10188,10817,10835
2025-02-21,10252,11009,11012
2025-02-24,11083,11208,11046
2025-02-25,11828,11192,11195
2025-02-26,13476,10881,11234
2025-02-27,14808,10743,11379
2025-02-28,18393,10558,11311
2025-03-04,21041,10027,11126
2025-03-05,20753,9903,10936
2025-03-06,21348,9503,10794
2025-03-07,22404,9322,10669
2025-03-10,24164,9396,10727
2025-03-11,24878,9504,10743
2025-03-12,25046,9934,10923
2025-03-13,28118,11133,11072
2025-03-14,28851,11693,11420
2025-03-17,28074,11876,11760
2025-03-18,26388,12104,11935
2025-03-19,26249,12137,12368
2025-03-20,25755,11971,12563
2025-03-21,25909,11836,12563
2025-03-24,25934,12236,12579
2025-03-25,25781,12363,12585
2025-03-26,24604,12994,12567
2025-03-27,23739,13388,12542
2025-03-28,23445,14048,12440
2025-03-31,22979,14121,12330
2025-04-01,23206,13903,12246
2025-04-02,22951,13899,12185
2025-04-03,23611,13958,12173
2025-04-04,22239,13739,12083
2025-04-07,20361,13267,11912
2025-04-08,18518,12865,11766
2025-04-09,17430,12470,11684
2025-04-10,17071,12195,11697
2025-04-11,17563,12026,11617
2025-04-14,18086,12132,11561
2025-04-15,17641,11808,11601
2025-04-16,16286,11980,11569
2025-04-17,16269,12120,11696
2025-04-18,16393,12205,11827
2025-04-21,16452,12253,11843
2025-04-22,16452,12366,11906
2025-04-23,16396,12592,12146
2025-04-24,17439,12857,12141
2025-04-25,18251,12946,12096
2025-04-28,18640,12932,11997
2025-04-29,18602,12828,11888
2025-04-30,18841,12593,11723
2025-05-02,18826,12505,11703
2025-05-07,18639,11979,11422
2025-05-08,17856,11784,11348
2025-05-09,16356,11779,11347
2025-05-12,16714,11857,11257
2025-05-13,16420,11911,11216
2025-05-14,15879,11699,11273
2025-05-15,16276,11512,11309
2025-05-16,17881,11519,11358
2025-05-19,18448,11551,11418
2025-05-20,17316,11615,11510
2025-05-21,17699,11544,11655
2025-05-22,18078,11299,11796
2025-05-23,18324,11201,11854
2025-05-26,18344,11025,11918
2025-05-27,17944,10975,11869
2025-05-28,18223,10794,11710
2025-05-29,19116,10462,11434
2025-05-30,20633,10211,11393
2025-06-02,22264,10038,11309
2025-06-04,23200,9556,11209
2025-06-05,25780,9932,11218
2025-06-09,27149,11072,11179
2025-06-10,26963,11220,11158
2025-06-11,26773,11529,11143
2025-06-12,28730,11630,11184
2025-06-13,31731,11848,11335
2025-06-16,32915,11970,11621
2025-06-17,32941,12150,11757
2025-06-18,30766,12667,11784
2025-06-19,28272,12795,11995
2025-06-20,25450,12773,12118
2025-06-23,24034,12803,12277
2025-06-24,23901,12981,12356
2025-06-25,23853,13227,12396
2025-06-26,21851,13427,12543
2025-06-27,19383,13542,12648
2025-06-30,18451,13619,12701
2025-07-01,17587,13752,12879
2025-07-02,16778,13773,12986
2025-07-03,16770,13581,13132
2025-07-04,17194,13643,13224
2025-07-07,17048,13785,13333
2025-07-08,16793,14097,13792
2025-07-09,16199,14380,14063
2025-07-10,15959,14597,14290
2025-07-11,16726,14868,14496
2025-07-14,19549,15588,14766
2025-07-15,20714,16097,15008
2025-07-16,21843,17090,15172
2025-07-17,23993,16830,15651
2025-07-18,27041,16740,15933
2025-07-21,27179,16695,15997
2025-07-22,26823,16651,15942
2025-07-23,27914,16612,15789
2025-07-24,30660,16524,15578
2025-07-25,31969,16503,15482
2025-07-28,32364,16305,15444
2025-07-29,31397,16231,15356
2025-07-30,28801,15733,15235
2025-07-31,28433,15290,15133
2025-08-01,29325,15035,15062
2025-08-04,29223,14880,15021
2025-08-05,27499,14893,15018
2025-08-06,28236,15174,15233
2025-08-07,28734,15420,15614
2025-08-08,29398,15563,15741
2025-08-11,30463,15702,15829
2025-08-12,29983,15527,16129
2025-08-13,29906,15417,16342
2025-08-14,30101,15411,16528
2025-08-18,29174,15493,16615
2025-08-19,28165,15386,16784
2025-08-20,26240,15070,17110
2025-08-21,25459,15314,17371
2025-08-22,24559,15680,17661
2025-08-25,26934,16111,17621
2025-08-26,29038,16496,17628
2025-08-27,28669,16916,17988
2025-08-28,28011,16960,18008
2025-08-29,27633,16950,18139
2025-09-01,27914,16781,17862
2025-09-02,27673,16419,17829
2025-09-03,26970,16416,17510
2025-09-04,26818,16314,17348
2025-09-05,27030,16352,17524
2025-09-08,27236,16406,17698
2025-09-09,27856,16784,17789
2025-09-10,28537,17108,17855
2025-09-11,28296,17447,17908
2025-09-12,27843,17529,18046
2025-09-15,28083,17531,18124
2025-09-16,29176,17608,18064
2025-09-17,29238,17393,17957
2025-09-18,29980,17474,17955
2025-09-19,31142,17392,17946
2025-09-22,31019,17216,17994
2025-09-23,31129,17175,17979
2025-09-24,31808,17527,18083
2025-09-25,32519,17800,18130
2025-09-26,32943,17810,18323
2025-09-29,32705,17755,18311
2025-09-30,30939,17549,18338
2025-10-01,28007,17069,18335
2025-10-02,25663,16524,18308
2025-10-10,25673,17276,17605
2025-10-13,28397,17780,17745
2025-10-14,30069,18184,17627
2025-10-15,28200,18497,17645
2025-10-16,28426,18455,17763
2025-10-17,29543,18323,17649
2025-10-20,29834,18357,17590
2025-10-21,30386,18391,17555
2025-10-22,30193,18709,17629
2025-10-23,29522,19016,17592
2025-10-24,27793,19110,17478
2025-10-27,26987,19223,17313
2025-10-28,26409,19317,17088
2025-10-29,26280,19152,16914
2025-10-30,26873,19077,16693
2025-10-31,27509,18978,16736
2025-11-03,26896,18956,16718
2025-11-04,26451,18729,16628
2025-11-05,27291,18402,16483
2025-11-06,28804,18418,16573
2025-11-07,30145,18434,16592
2025-11-10,30188,18499,16433
2025-11-11,29263,18656,16616
2025-11-12,28534,18738,16965
2025-11-13,27473,18883,17200
2025-11-14,28328,18881,17432
2025-11-17,29241,18825,17560
2025-11-18,30456,18757,17659
2025-11-19,32076,18786,17781
2025-11-20,32468,18779,17957
2025-11-21,31540,18742,18028
2025-11-24,32157,18852,17964
2025-11-25,32722,19219,17984
2025-11-27,34409,19313,18170
2025-11-28,36226,19310,18302
2025-12-01,38408,19252,18464
2025-12-02,39232,19118,18573
2025-12-03,40092,18855,18736
2025-12-04,43189,18729,18805
2025-12-05,41976,18509,18756
2025-12-08,40271,18200,18575
2025-12-09,39496,17812,18260
2025-12-10,36297,16391,17749
2025-12-11,33539,16058,17590
2025-12-12,31693,15990,17478
2025-12-15,31446,15142,17247
2025-12-16,32668,14404,16905
2025-12-17,32999,13812,16628
2025-12-18,31567,13019,16388
2025-12-19,31463,12643,15976
2025-12-22,31034,11701,15553
2025-12-23,29954,11475,15045
2025-12-24,29300,11001,14623
2026-01-05,28405,11047,12852
2026-01-06,28564,11540,12603
2026-01-07,27901,11911,12392
2026-01-08,27173,12211,12280
2026-01-09,26375,12305,12239
2026-01-12,25825,12338,12148
2026-01-13,25352,12017,12101
2026-01-14,24261,11885,12068
2026-01-15,23206,12029,12058
2026-01-16,22259,12768,12217
2026-01-19,23076,13139,12251
2026-01-20,24707,13649,12048
2026-01-21,26276,14047,12531
2026-01-22,27438,14054,12796
2026-01-23,25730,13723,13025
2026-01-26,25823,13707,13013
2026-01-27,28026,13536,13041
2026-01-28,31919,13835,13337
2026-01-29,31601,14157,13496
2026-01-30,33544,14424,13621
2026-02-02,34133,14696,13870
2026-02-03,32797,14742,13952
2026-02-04,29998,15028,13979
2026-02-05,29163,14995,14038
2026-02-06,28955,14953,14119
2026-02-09,28992,14836,14131
2026-02-10,27637,14707,14040
2026-02-11,27499,14994,14177
2026-02-12,30052,16033,14387
2026-02-13,32275,16334,14835
2026-02-19,30625,17067,14816
2026-02-20,30269,17519,14723
2026-02-23,30966,17566,14902
2026-02-24,32203,17502,15156
2026-02-25,31892,17838,15502
2026-02-26,30748,17998,15899
2026-02-27,30951,18306,16577
2026-03-03,32184,18578,17372
2026-03-04,33147,19296,17891
2026-03-05,32728,19608,18097
2026-03-06,30556,19515,18150
2026-03-09,26618,19350,17777
2026-03-10,28919,18792,17399
2026-03-11,25695,18485,16854
2026-03-12,25875,18401,16637
2026-03-13,27234,18369,16433
2026-03-16,29021,18257,16341
2026-03-17,29291,18358,16045
2026-03-18,28761,18532,15885
2026-03-19,29539,18547,15604
2026-03-20,29453,18607,15461
2026-03-23,29446,18498,15278
2026-03-24,29162,18386,15176
2026-03-25,28484,18208,15183
2026-03-26,29234,17697,15115
2026-03-27,30380,17445,15053
2026-03-30,30678,17255,15112
2026-03-31,30301,16791,14713
2026-04-01,29949,16864,14617
2026-04-02,30676,16832,14845
2026-04-03,31246,16698,15072
2026-04-06,31194,16701,14740
2026-04-07,31664,16961,14948
2026-04-08,33503,17136,15211
2026-04-09,32658,17465,15469
2026-04-10,32663,17636,15859
2026-04-13,33455,17696,15950
2026-04-14,35129,17955,16208
2026-04-15,38010,18481,16552
2026-04-16,40206,19021,17096
2026-04-17,39545,19282,17476
2026-04-20,40699,19223,17539
2026-04-21,42541,19679,17827
2026-04-22,42359,19670,18374
2026-04-23,43189,19857,19061
2026-04-24,42527,19817,19509
2026-04-27,42039,19862,19644
2026-04-28,42658,19950,19621
2026-04-29,42716,20023,19530
2026-04-30,42350,20046,19519
2026-05-06,46579,20559,19255
2026-05-07,49638,20966,19340
2026-05-08,49612,21856,19443
2026-05-11,47679,22034,19482
2026-05-12,48969,22807,19721
2026-05-13,49043,23354,19733
2026-05-14,51659,23680,19724
2026-05-15,50392,23787,19817
2026-05-18,49781,23957,19923
2026-05-19,48014,23786,20086
2026-05-20,47845,23555,20017
2026-05-21,47451,22560,20076
2026-05-22,46724,21714,20111
2026-05-26,48850,21686,20170
2026-05-27,50608,22277,20198
2026-05-28,51728,22550,20066
2026-05-29,53842,22885,19983
2026-06-01,51801,22964,19976
2026-06-02,53189,22929,20001
2026-06-04,50481,22278,20075
2026-06-05,47893,21827,20105
2026-06-08,47053,21103,20077
2026-06-09,44848,20496,20253
2026-06-10,42416,20090,20380
2026-06-11,41319,20497,20500
2026-06-12,39530,20652,20648
2026-06-15,39851,20814,20701
2026-06-16,39212,20785,20841
2026-06-17,37770,20391,21091
2026-06-18,37828,19861,21379
2026-06-19,38550,19134,21370
2026-06-22,40734,19155,21432
2026-06-23,40316,18363,21375
2026-06-24,39361,18108,21500
2026-06-25,38242,18396,21553
2026-06-26,36653,18555,21396
2026-06-29,35302,18589,21251
2026-06-30,35191,18786,21082
2026-07-01,35212,19101,20907
2026-07-02,36926,19185,21033
2026-07-03,38966,19399,21110
2026-07-06,40450,19728,21089
2026-07-07,43934,19951,21124
2026-07-08,44986,20099,21112
2026-07-09,44116,20247,21109
2026-07-10,44994,20420,21192
2026-07-13,46133,20611,21130
2026-07-14,46710,20687,21312
2026-07-15,47056,20875,21378
2026-07-16,45284,20851,21501
2026-07-20,40409,20704,21628
2026-07-21,38045,20366,21467
2026-07-22,39179,19990,21349
2026-07-23,41084,19526,21120
2026-07-24,42079,19125,20918
2026-07-27,42750,18930,20688
2026-07-28,41695,18792,20426
2026-07-29,41049,18832,20108
2026-07-30,39818,18759,19815
2026-07-31,41882,18998,19724
2026-08-03,42915,19377,19654
2026-08-04,46320,19664,19659
2026-08-05,47177,20023,19607
2026-08-06,50202,20193,19518
2026-08-07,49846,20344,19464
2026-08-10,50782,20455,19387
2026-08-11,50324,20631,19292
2026-08-12,49270,20894,19288
2026-08-13,46820,20882,19516
2026-08-14,44654,20702,19702
2026-08-18,45532,20382,19801
2026-08-19,44108,20036,19799
2026-08-20,43618,19757,19869
2026-08-21,44286,19782,19969
2026-08-24,45583,19875,20190
2026-08-25,46425,20504,20161
2026-08-26,47491,20817,20247
2026-08-27,50417,20719,20317
2026-08-28,50750,21509,20584
2026-08-31,52994,21607,20782
2026-09-01,51849,21930,20849
2026-09-02,51973,22148,20895
2026-09-03,56921,22536,21013
2026-09-04,60432,22821,21218
2026-09-07,63177,22832,21236
2026-09-08,61094,23367,21359
2026-09-09,61512,23233,21438
2026-09-10,62378,23307,21434
