date,port,berthed_vessels,waiting_vessels,congestion_score,congestion_level,source
2026-08-25,Paradip,21,18,46.15,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2508.pdf
2026-08-26,Paradip,24,19,44.19,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2608.pdf
2026-08-27,Paradip,27,18,40.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr2708.pdf
2026-08-28,Paradip,27,15,35.71,High,https://www.paradipport.gov.in/uploads/2026/08/dtr2808.pdf
2026-08-29,Paradip,25,13,34.21,High,https://www.paradipport.gov.in/uploads/2026/08/dtr2908.pdf
2026-08-30,Paradip,21,14,40.0,Severe,https://www.paradipport.gov.in/uploads/2026/08/dtr3008.pdf
2026-08-31,Paradip,22,13,37.14,High,https://www.paradipport.gov.in/uploads/2026/08/dtr3108.pdf
2026-09-01,Paradip,23,11,32.35,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0109.pdf
2026-09-02,Paradip,25,11,30.56,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0209__compressed.pdf
2026-09-03,Paradip,27,12,30.77,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0309.pdf
2026-09-04,Paradip,27,13,32.5,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0409.pdf
2026-09-05,Paradip,25,12,32.43,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0509.pdf
2026-09-06,Paradip,26,12,31.58,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0609.pdf
2026-09-07,Paradip,26,13,33.33,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0709.pdf
2026-09-08,Paradip,22,10,31.25,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0809.pdf
2026-09-09,Paradip,23,10,30.3,High,https://www.paradipport.gov.in/uploads/2026/09/dtr0909.pdf
