date,origin_port,destination_port,cargo_type,freight_rate,bdi,oil_price,commodity_price,commodity_demand,weather_disruption,port_congestion,usd_index
2021-02-14,Singapore,Rotterdam,Coal,2755.21,1841.59,84.38,120.3,112.5,0,31.85,102.19
2021-02-15,Shanghai,Rotterdam,Steel,2970.47,1834.55,84.55,120.42,109.57,0,29.55,102.57
2021-02-16,Singapore,Rotterdam,Coal,2755.14,1839.13,84.77,120.5,99.2,0,38.88,101.74
2021-02-17,Mumbai,Dubai,Iron Ore,2347.95,1858.31,85.13,121.13,109.33,0,45.15,102.0
2021-02-18,Singapore,Rotterdam,Steel,2729.21,1864.25,85.35,121.6,112.83,0,18.45,106.4
2021-02-19,Shanghai,Los Angeles,Iron Ore,3381.33,1871.77,85.33,121.8,103.31,0,48.25,104.44
2021-02-20,Shanghai,Los Angeles,Iron Ore,3270.84,1867.24,85.67,121.39,112.52,0,28.0,100.75
2021-02-21,Shanghai,Los Angeles,Iron Ore,3443.38,1867.75,86.05,121.47,111.32,0,39.73,105.38
2021-02-22,Shanghai,Los Angeles,Coal,2901.09,1870.07,86.65,122.3,117.17,1,47.47,104.95
2021-02-23,Mumbai,Dubai,Iron Ore,2342.18,1872.74,86.6,122.4,105.92,2,48.09,102.78
2021-02-24,Mumbai,Rotterdam,Iron Ore,2694.55,1888.08,86.76,122.83,102.62,0,24.65,103.7
2021-02-25,Shanghai,Rotterdam,Iron Ore,3402.36,1897.52,86.57,123.34,106.4,0,35.71,103.26
2021-02-26,Shanghai,Los Angeles,Steel,3593.63,1893.47,86.77,123.54,115.49,2,80.38,106.28
2021-02-27,Singapore,Rotterdam,Steel,2728.05,1900.17,86.8,123.47,99.26,0,19.57,102.17
2021-02-28,Shanghai,Los Angeles,Coal,3129.14,1908.76,87.2,123.0,98.15,2,81.38,103.62
2021-03-01,Singapore,Rotterdam,Coal,2734.55,1922.35,87.19,123.3,109.03,0,36.1,102.79
2021-03-02,Singapore,Rotterdam,Steel,3138.96,1939.35,87.04,123.23,106.46,1,48.53,101.32
2021-03-03,Shanghai,Los Angeles,Coal,2797.06,1935.45,87.07,123.4,108.79,0,23.7,106.79
2021-03-04,Mumbai,Dubai,Steel,2437.08,1933.05,86.87,123.21,113.56,2,44.43,101.76
2021-03-05,Singapore,Rotterdam,Iron Ore,3141.16,1926.95,87.08,123.26,106.15,0,32.46,103.9
2021-03-06,Singapore,Rotterdam,Iron Ore,3177.75,1928.9,86.86,123.39,99.63,0,24.31,100.99
2021-03-07,Shanghai,Los Angeles,Coal,2575.58,1936.33,86.96,123.57,119.29,0,36.87,103.03
2021-03-08,Singapore,Rotterdam,Steel,3010.83,1947.79,86.73,123.39,104.15,0,33.89,104.29
2021-03-09,Singapore,Rotterdam,Steel,3285.2,1950.61,86.76,123.8,103.91,1,75.76,102.45
2021-03-10,Shanghai,Los Angeles,Coal,2721.99,1951.34,87.09,123.74,114.79,0,22.51,104.59
2021-03-11,Shanghai,Los Angeles,Steel,3504.51,1955.7,87.22,123.42,107.41,2,57.54,103.33
2021-03-12,Shanghai,Rotterdam,Iron Ore,3787.42,1952.04,87.16,123.48,109.08,0,43.72,105.5
2021-03-13,Mumbai,Dubai,Coal,2004.41,1971.63,87.23,123.58,111.87,1,31.95,105.82
2021-03-14,Mumbai,Dubai,Coal,1981.26,1961.5,87.29,123.7,114.93,0,50.3,102.92
2021-03-15,Singapore,Rotterdam,Steel,3310.53,1965.58,87.43,124.12,107.89,2,50.03,103.94
2021-03-16,Mumbai,Dubai,Coal,1955.68,1984.22,87.28,124.13,117.21,2,18.61,104.12
2021-03-17,Singapore,Rotterdam,Steel,3020.28,1986.58,87.43,124.17,98.98,0,49.9,104.79
2021-03-18,Shanghai,Rotterdam,Steel,3551.47,1987.23,87.07,123.96,113.5,1,31.25,103.9
2021-03-19,Shanghai,Los Angeles,Steel,3257.31,1986.4,87.03,124.23,105.54,1,32.28,104.18
2021-03-20,Shanghai,Los Angeles,Steel,3138.84,1986.83,87.0,124.33,116.64,0,50.32,103.55
2021-03-21,Shanghai,Los Angeles,Steel,3031.19,1999.55,87.14,124.28,110.52,0,34.79,104.1
2021-03-22,Mumbai,Dubai,Coal,2084.16,1983.45,87.18,123.85,106.48,0,53.77,105.88
2021-03-23,Shanghai,Rotterdam,Iron Ore,4082.33,1997.16,87.0,124.25,113.19,1,66.15,104.92
2021-03-24,Mumbai,Dubai,Iron Ore,2272.28,1987.07,86.88,123.99,114.36,0,30.33,105.01
2021-03-25,Mumbai,Dubai,Coal,2131.15,1986.09,86.94,123.87,113.13,0,51.9,105.05
2021-03-26,Shanghai,Rotterdam,Coal,3096.1,1983.66,86.95,123.99,104.79,0,28.67,103.75
2021-03-27,Shanghai,Rotterdam,Iron Ore,4092.97,1989.22,86.89,123.72,107.54,0,73.5,104.46
2021-03-28,Shanghai,Rotterdam,Iron Ore,3814.16,1977.15,86.83,123.37,109.95,1,37.61,102.36
2021-03-29,Shanghai,Rotterdam,Iron Ore,4150.59,1981.41,86.95,122.85,109.78,2,71.39,105.9
2021-03-30,Shanghai,Los Angeles,Iron Ore,3450.9,1998.02,86.88,123.05,113.74,0,52.66,99.82
2021-03-31,Mumbai,Rotterdam,Iron Ore,3111.91,1987.39,86.88,122.92,99.92,0,44.74,103.87
2021-04-01,Mumbai,Rotterdam,Steel,2683.71,1989.02,87.2,123.65,111.67,1,37.94,105.71
2021-04-02,Shanghai,Rotterdam,Coal,2943.93,1983.7,86.99,123.4,108.55,0,37.73,101.95
2021-04-03,Mumbai,Rotterdam,Steel,2467.57,1986.93,86.71,123.17,105.8,0,7.7,104.6
2021-04-04,Mumbai,Rotterdam,Iron Ore,3077.93,1986.76,86.82,123.02,106.28,0,43.37,102.97
2021-04-05,Shanghai,Rotterdam,Iron Ore,3939.89,1981.16,86.7,123.06,108.91,0,45.24,103.44
2021-04-06,Mumbai,Rotterdam,Iron Ore,2854.77,1984.44,86.64,122.93,91.96,0,42.0,105.41
2021-04-07,Mumbai,Dubai,Steel,2251.36,1998.11,86.51,123.06,106.45,1,3.4,104.28
2021-04-08,Singapore,Rotterdam,Steel,2977.58,1995.67,86.45,122.79,105.55,0,21.02,100.92
2021-04-09,Singapore,Rotterdam,Iron Ore,3380.31,2000.37,86.66,122.41,112.58,1,36.78,102.5
2021-04-10,Shanghai,Rotterdam,Steel,3514.23,1988.81,86.75,121.92,105.86,0,44.37,105.42
2021-04-11,Shanghai,Los Angeles,Steel,3174.64,1979.81,86.85,121.33,108.79,0,44.34,104.62
2021-04-12,Shanghai,Rotterdam,Iron Ore,4008.36,1982.09,86.6,121.15,117.54,1,45.45,106.55
2021-04-13,Shanghai,Los Angeles,Steel,3425.46,1992.31,86.39,121.03,114.77,0,49.53,106.44
2021-04-14,Singapore,Rotterdam,Coal,2791.12,1993.37,85.92,120.82,114.27,0,24.61,103.39
2021-04-15,Shanghai,Rotterdam,Coal,3245.44,1988.93,85.75,121.07,107.22,0,49.15,107.64
2021-04-16,Mumbai,Dubai,Coal,2281.28,1986.85,85.84,121.31,112.4,0,47.12,103.91
2021-04-17,Mumbai,Rotterdam,Coal,2505.06,1974.62,85.87,121.16,108.47,1,53.66,102.41
2021-04-18,Shanghai,Los Angeles,Iron Ore,3408.43,1977.09,85.78,120.64,108.61,0,37.27,102.89
2021-04-19,Mumbai,Rotterdam,Iron Ore,3002.26,1981.65,85.72,120.43,111.59,1,75.46,100.43
2021-04-20,Mumbai,Rotterdam,Iron Ore,3135.82,1975.38,85.55,120.2,106.5,0,47.4,106.21
2021-04-21,Shanghai,Rotterdam,Coal,2918.49,1968.83,85.51,119.95,116.9,0,25.47,106.16
2021-04-22,Mumbai,Rotterdam,Coal,2822.48,1968.03,85.56,119.69,108.57,3,67.72,102.23
2021-04-23,Mumbai,Dubai,Steel,2292.66,1961.47,85.24,119.43,112.4,1,59.29,103.38
2021-04-24,Mumbai,Rotterdam,Steel,2766.65,1957.74,85.21,119.24,116.53,0,31.18,103.84
2021-04-25,Shanghai,Rotterdam,Coal,3054.38,1971.2,85.27,118.98,114.34,0,56.34,102.23
2021-04-26,Mumbai,Dubai,Coal,1883.74,1965.75,85.12,118.93,102.07,0,45.73,101.01
2021-04-27,Singapore,Rotterdam,Coal,2557.16,1959.27,85.14,118.91,111.26,0,4.86,103.3
2021-04-28,Mumbai,Rotterdam,Coal,2451.59,1950.34,85.47,118.57,113.22,1,52.5,103.1
2021-04-29,Shanghai,Rotterdam,Steel,3492.75,1952.42,85.37,118.77,113.35,1,41.91,102.97
2021-04-30,Singapore,Rotterdam,Coal,2741.72,1946.96,85.33,118.4,103.24,0,48.06,103.86
2021-05-01,Singapore,Rotterdam,Steel,3259.87,1937.62,85.12,117.88,105.44,1,62.16,105.63
2021-05-02,Shanghai,Los Angeles,Coal,2859.02,1943.93,85.04,117.84,113.61,0,42.93,103.0
2021-05-03,Mumbai,Dubai,Coal,1993.6,1950.89,85.01,117.51,104.74,0,64.98,103.68
2021-05-04,Mumbai,Rotterdam,Coal,2268.67,1941.56,84.93,117.45,106.96,0,37.32,104.47
2021-05-05,Shanghai,Rotterdam,Steel,3844.91,1921.98,84.66,116.71,116.25,2,65.37,104.18
2021-05-06,Shanghai,Los Angeles,Steel,3353.49,1925.27,84.58,116.92,108.03,1,60.07,102.39
2021-05-07,Mumbai,Dubai,Iron Ore,2153.63,1914.9,84.68,116.94,104.54,0,38.54,103.41
2021-05-08,Shanghai,Los Angeles,Coal,2801.1,1916.21,84.63,116.41,103.69,0,51.68,104.05
2021-05-09,Mumbai,Dubai,Iron Ore,2546.59,1895.31,84.65,115.89,109.63,2,47.08,101.5
2021-05-10,Mumbai,Dubai,Iron Ore,2482.66,1897.2,84.49,116.15,101.2,0,33.66,105.04
2021-05-11,Mumbai,Rotterdam,Steel,2542.96,1882.14,84.47,115.8,106.52,0,20.31,105.25
2021-05-12,Mumbai,Dubai,Steel,2259.9,1882.5,84.38,115.43,109.32,2,59.62,101.98
2021-05-13,Shanghai,Los Angeles,Iron Ore,3816.16,1877.02,84.1,114.7,114.03,1,52.88,103.31
2021-05-14,Mumbai,Dubai,Coal,1992.96,1863.68,84.01,114.44,110.76,0,57.69,103.93
2021-05-15,Mumbai,Rotterdam,Steel,2683.9,1854.61,83.73,114.21,103.74,0,51.87,102.1
2021-05-16,Mumbai,Rotterdam,Coal,2159.84,1854.17,83.49,114.21,113.08,0,35.73,103.6
2021-05-17,Shanghai,Los Angeles,Coal,2404.91,1848.99,83.37,113.68,105.57,0,22.33,103.07
2021-05-18,Singapore,Rotterdam,Iron Ore,3326.76,1847.52,83.27,113.11,100.77,2,62.49,100.58
2021-05-19,Singapore,Rotterdam,Iron Ore,2939.91,1857.1,82.94,113.04,105.96,0,56.66,103.42
2021-05-20,Mumbai,Dubai,Iron Ore,2691.33,1838.24,82.95,113.1,113.88,1,59.33,101.03
2021-05-21,Shanghai,Rotterdam,Iron Ore,3569.9,1844.74,82.88,112.51,107.39,0,56.27,104.03
2021-05-22,Mumbai,Dubai,Steel,1987.44,1839.04,82.62,112.59,106.5,0,36.82,101.57
2021-05-23,Shanghai,Los Angeles,Steel,3038.63,1825.21,82.23,112.4,114.49,0,33.0,102.28
2021-05-24,Shanghai,Los Angeles,Iron Ore,3310.64,1807.85,82.04,112.47,99.01,1,36.95,104.52
2021-05-25,Shanghai,Los Angeles,Steel,2989.54,1799.52,81.81,112.25,99.6,0,39.16,103.16
2021-05-26,Shanghai,Los Angeles,Iron Ore,3317.48,1799.98,81.66,111.41,97.81,0,38.82,100.74
2021-05-27,Shanghai,Los Angeles,Coal,2669.99,1791.97,81.44,111.16,107.62,0,43.1,100.78
2021-05-28,Mumbai,Rotterdam,Coal,2112.86,1796.98,80.97,111.21,106.44,0,38.06,101.35
2021-05-29,Singapore,Rotterdam,Coal,2642.52,1778.21,80.74,110.78,113.18,0,38.0,102.78
2021-05-30,Shanghai,Los Angeles,Iron Ore,3213.64,1770.87,80.52,110.46,106.54,0,28.35,102.67
2021-05-31,Shanghai,Rotterdam,Coal,2825.0,1753.53,80.44,110.2,103.16,0,54.12,100.81
2021-06-01,Shanghai,Rotterdam,Steel,3254.26,1749.04,80.16,109.25,105.04,0,41.15,100.26
2021-06-02,Shanghai,Rotterdam,Coal,2676.62,1748.67,80.23,109.44,105.47,0,37.38,102.37
2021-06-03,Shanghai,Rotterdam,Coal,2532.03,1737.76,79.76,108.99,96.37,0,28.79,101.62
2021-06-04,Mumbai,Rotterdam,Coal,2139.46,1709.31,79.78,108.89,118.13,0,20.02,105.07
2021-06-05,Shanghai,Rotterdam,Steel,3037.55,1703.22,79.56,108.64,107.02,0,59.62,101.82
2021-06-06,Shanghai,Los Angeles,Iron Ore,3214.3,1698.97,79.5,108.72,105.32,0,48.32,104.43
2021-06-07,Mumbai,Dubai,Steel,1902.61,1694.39,79.33,108.59,107.19,1,23.64,99.89
2021-06-08,Shanghai,Rotterdam,Iron Ore,3301.57,1696.41,79.31,108.29,107.5,0,51.45,99.22
2021-06-09,Mumbai,Rotterdam,Iron Ore,2811.49,1679.91,79.06,107.83,103.09,0,53.84,99.84
2021-06-10,Mumbai,Rotterdam,Coal,2053.26,1677.36,78.7,107.79,100.48,0,41.87,103.24
2021-06-11,Shanghai,Rotterdam,Iron Ore,3439.43,1678.86,78.72,107.08,106.47,1,71.97,104.02
2021-06-12,Mumbai,Dubai,Steel,2170.88,1656.55,78.51,107.0,105.24,1,51.25,100.15
2021-06-13,Shanghai,Rotterdam,Steel,2654.01,1650.96,78.35,106.48,99.1,0,18.75,100.57
2021-06-14,Mumbai,Rotterdam,Iron Ore,2500.78,1638.74,78.34,106.55,110.08,0,45.48,99.44
2021-06-15,Singapore,Rotterdam,Coal,2476.22,1629.86,77.99,106.34,104.29,0,43.67,98.41
2021-06-16,Shanghai,Los Angeles,Coal,2786.98,1624.37,77.88,106.26,106.3,2,46.95,102.14
2021-06-17,Mumbai,Rotterdam,Steel,2558.64,1612.16,77.59,106.03,109.45,1,56.6,101.33
2021-06-18,Shanghai,Rotterdam,Coal,2366.47,1598.41,77.37,105.34,102.43,0,14.99,100.94
2021-06-19,Shanghai,Los Angeles,Iron Ore,3279.26,1590.3,77.18,104.87,103.74,1,62.86,98.76
2021-06-20,Shanghai,Rotterdam,Iron Ore,3115.94,1573.18,76.75,104.79,106.04,1,34.83,103.25
2021-06-21,Shanghai,Rotterdam,Steel,2637.1,1556.05,76.43,104.58,98.19,0,25.23,99.97
2021-06-22,Singapore,Rotterdam,Iron Ore,2913.12,1553.02,76.43,104.62,101.92,0,38.29,101.46
2021-06-23,Shanghai,Los Angeles,Steel,2652.27,1535.33,76.36,104.46,102.11,0,46.49,98.41
2021-06-24,Shanghai,Los Angeles,Iron Ore,2924.53,1532.14,76.15,103.97,96.53,0,42.46,100.24
2021-06-25,Singapore,Rotterdam,Steel,2663.57,1527.31,75.98,103.51,112.73,1,36.86,100.89
2021-06-26,Mumbai,Rotterdam,Coal,1798.72,1504.95,75.73,103.28,93.93,0,32.41,100.88
2021-06-27,Shanghai,Rotterdam,Iron Ore,3087.35,1490.96,75.73,102.44,94.3,1,31.0,100.55
2021-06-28,Mumbai,Dubai,Iron Ore,2346.49,1491.93,75.49,102.6,107.19,3,60.63,100.99
2021-06-29,Shanghai,Rotterdam,Steel,2624.27,1475.5,75.32,102.46,104.02,0,56.13,98.48
2021-06-30,Shanghai,Rotterdam,Steel,2696.9,1463.18,75.29,102.51,95.15,0,39.94,100.41
2021-07-01,Mumbai,Rotterdam,Iron Ore,2444.03,1458.28,74.96,101.85,103.14,1,60.89,100.21
2021-07-02,Shanghai,Rotterdam,Steel,3083.65,1455.95,74.99,101.91,107.27,1,69.83,100.32
2021-07-03,Singapore,Rotterdam,Iron Ore,2618.18,1445.34,74.55,102.21,99.61,1,39.18,100.01
2021-07-04,Singapore,Rotterdam,Coal,2213.39,1431.96,74.59,101.62,112.59,0,37.2,97.93
2021-07-05,Shanghai,Los Angeles,Steel,2718.68,1434.75,74.33,101.55,90.8,0,72.57,97.79
2021-07-06,Mumbai,Dubai,Iron Ore,2049.38,1440.08,74.09,101.3,102.72,0,61.67,96.38
2021-07-07,Shanghai,Rotterdam,Coal,2601.0,1439.34,73.6,100.65,104.91,2,30.91,100.86
2021-07-08,Shanghai,Rotterdam,Coal,2274.77,1431.46,73.32,100.52,103.36,0,45.81,100.8
2021-07-09,Mumbai,Rotterdam,Iron Ore,2655.56,1416.45,72.96,100.47,97.71,2,56.01,100.76
2021-07-10,Singapore,Rotterdam,Steel,2493.28,1401.29,72.67,100.07,97.11,0,52.4,99.89
2021-07-11,Mumbai,Dubai,Iron Ore,2288.76,1396.97,72.44,100.1,100.61,3,52.83,96.16
2021-07-12,Shanghai,Los Angeles,Coal,2289.84,1391.84,72.38,99.43,102.3,0,27.41,97.75
2021-07-13,Singapore,Rotterdam,Iron Ore,2547.02,1394.6,72.21,98.8,101.07,0,29.86,99.48
2021-07-14,Shanghai,Los Angeles,Steel,2316.06,1391.38,72.06,98.59,103.09,0,31.42,99.36
2021-07-15,Mumbai,Rotterdam,Coal,1805.8,1370.97,71.69,98.34,92.63,0,52.23,98.75
2021-07-16,Mumbai,Rotterdam,Iron Ore,2277.73,1371.02,71.36,97.91,96.41,0,22.28,99.57
2021-07-17,Shanghai,Rotterdam,Steel,2599.93,1354.72,71.43,97.86,92.69,0,30.66,98.97
2021-07-18,Mumbai,Dubai,Coal,1365.02,1343.36,71.12,97.75,95.29,0,13.16,99.07
2021-07-19,Shanghai,Los Angeles,Steel,2237.49,1337.12,71.17,97.71,102.13,0,55.11,97.86
2021-07-20,Singapore,Rotterdam,Coal,2259.3,1344.89,70.94,97.44,97.43,1,67.07,100.23
2021-07-21,Mumbai,Rotterdam,Iron Ore,2190.16,1361.62,70.74,97.34,109.76,0,35.09,98.05
2021-07-22,Shanghai,Rotterdam,Steel,2474.76,1358.37,70.71,96.99,97.53,0,35.53,96.63
2021-07-23,Shanghai,Rotterdam,Coal,2475.06,1348.85,70.7,97.26,96.7,1,54.8,97.41
2021-07-24,Shanghai,Los Angeles,Steel,2601.34,1345.13,70.5,96.82,96.78,0,62.12,97.98
2021-07-25,Mumbai,Rotterdam,Steel,2287.91,1344.29,70.25,97.11,92.9,2,62.13,99.93
2021-07-26,Mumbai,Dubai,Iron Ore,1813.82,1333.83,70.05,96.88,95.64,0,29.54,98.31
2021-07-27,Mumbai,Rotterdam,Steel,1700.02,1340.37,69.91,96.3,101.41,0,15.72,98.03
2021-07-28,Shanghai,Los Angeles,Coal,2037.8,1334.45,69.86,96.41,96.19,0,23.27,96.37
2021-07-29,Shanghai,Los Angeles,Coal,2353.71,1330.73,69.68,96.21,91.5,0,41.1,99.36
2021-07-30,Mumbai,Rotterdam,Coal,1747.33,1328.43,69.59,96.19,90.68,0,30.17,97.15
2021-07-31,Shanghai,Los Angeles,Coal,2170.08,1324.24,69.65,96.27,92.91,0,42.92,97.91
2021-08-01,Mumbai,Rotterdam,Iron Ore,2116.87,1323.46,69.53,96.13,95.38,0,31.71,100.22
2021-08-02,Singapore,Rotterdam,Steel,2221.91,1311.11,69.4,95.76,100.83,0,24.13,98.71
2021-08-03,Mumbai,Rotterdam,Iron Ore,1761.19,1299.3,68.99,95.79,88.01,0,22.34,95.44
2021-08-04,Mumbai,Rotterdam,Steel,1986.42,1283.24,68.42,95.57,92.97,0,63.44,95.17
2021-08-05,Shanghai,Los Angeles,Steel,2374.86,1279.57,68.31,95.52,95.15,0,53.33,97.67
2021-08-06,Shanghai,Los Angeles,Steel,2525.45,1278.7,68.12,94.77,85.11,0,65.96,95.89
2021-08-07,Shanghai,Rotterdam,Iron Ore,2648.91,1275.35,67.88,94.67,89.98,0,48.1,98.63
2021-08-08,Shanghai,Rotterdam,Steel,2176.25,1281.82,67.75,94.31,90.61,0,33.55,97.67
2021-08-09,Singapore,Rotterdam,Iron Ore,2525.13,1274.94,67.58,94.51,89.89,0,59.85,97.8
2021-08-10,Shanghai,Rotterdam,Coal,2078.53,1273.54,67.58,94.47,94.69,0,39.5,96.43
2021-08-11,Mumbai,Rotterdam,Coal,1579.41,1258.15,67.44,94.33,92.8,0,43.31,100.05
2021-08-12,Shanghai,Los Angeles,Steel,2149.33,1248.49,67.17,94.25,90.69,0,39.36,101.65
2021-08-13,Shanghai,Rotterdam,Iron Ore,2410.54,1247.59,67.16,93.81,95.48,0,0.0,96.92
2021-08-14,Shanghai,Rotterdam,Coal,2406.11,1248.02,66.97,94.02,101.83,0,64.07,97.81
2021-08-15,Singapore,Rotterdam,Iron Ore,2480.56,1239.4,66.9,94.33,101.28,0,47.37,97.38
2021-08-16,Singapore,Rotterdam,Iron Ore,2391.39,1232.66,66.68,94.25,83.35,0,44.95,96.8
2021-08-17,Mumbai,Rotterdam,Steel,1897.09,1214.46,66.44,94.46,95.73,0,39.07,95.89
2021-08-18,Shanghai,Los Angeles,Coal,2029.58,1205.65,66.31,94.14,91.83,0,42.45,95.46
2021-08-19,Singapore,Rotterdam,Steel,2268.34,1206.93,66.17,93.77,93.38,1,39.04,95.34
2021-08-20,Shanghai,Rotterdam,Steel,2229.75,1205.8,66.11,93.61,90.5,1,57.25,97.6
2021-08-21,Shanghai,Los Angeles,Coal,1922.51,1204.18,65.93,93.55,92.97,0,20.39,96.17
2021-08-22,Shanghai,Los Angeles,Coal,1912.44,1199.06,65.52,93.28,93.03,0,42.79,93.04
2021-08-23,Shanghai,Rotterdam,Iron Ore,2656.47,1193.72,65.33,93.25,89.27,0,48.42,97.53
2021-08-24,Singapore,Rotterdam,Coal,1951.02,1183.16,65.32,93.17,87.57,1,45.02,96.76
2021-08-25,Shanghai,Rotterdam,Iron Ore,2512.44,1183.58,65.15,92.77,89.71,0,45.56,98.8
2021-08-26,Shanghai,Los Angeles,Iron Ore,2551.09,1181.91,64.99,92.75,93.02,3,49.13,97.3
2021-08-27,Mumbai,Dubai,Iron Ore,1719.49,1180.92,65.02,92.81,94.75,0,25.51,94.48
2021-08-28,Mumbai,Dubai,Coal,1457.53,1171.91,64.8,92.71,95.92,0,43.55,93.32
2021-08-29,Mumbai,Rotterdam,Steel,1872.13,1150.0,64.46,92.86,89.09,0,50.18,95.55
2021-08-30,Shanghai,Rotterdam,Iron Ore,2228.03,1154.22,64.33,92.42,92.89,0,11.88,95.65
2021-08-31,Shanghai,Rotterdam,Steel,2223.0,1145.97,64.15,92.4,96.2,0,47.83,97.97
2021-09-01,Mumbai,Rotterdam,Steel,1776.05,1134.76,63.9,91.98,97.13,0,31.85,96.51
2021-09-02,Mumbai,Rotterdam,Coal,1511.08,1136.14,63.77,91.58,90.92,0,37.11,98.19
